,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,44.22199575885622,-68.33692156867647,1609,True,acad,4
1,1,1,44.3621988738318,-68.33442642056083,214,True,acad,13
2,2,2,44.227791453749994,-68.31722091374984,800,True,acad,6
3,3,3,44.24067232980975,-68.30013045665937,473,True,acad,8
4,4,4,44.3385636955557,-68.27333779999951,450,True,acad,9
5,5,5,44.32666131070147,-68.25366267041335,2224,True,acad,3
6,6,6,44.376743978339384,-68.25087294223816,277,True,acad,11
7,7,7,44.35301914840628,-68.22501940041148,4865,True,acad,2
8,8,8,44.362679095779285,-68.20798142532445,616,True,acad,7
9,9,9,44.32196477654723,-68.18741229899291,6950,True,acad,1
10,10,10,44.34977215384615,-68.18985686813198,273,True,acad,12
11,11,11,44.340054881516615,-68.1769452985781,422,True,acad,10
12,12,12,44.332582464155614,-68.060702055893,823,True,acad,5
