,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,38.784777745351214,-109.59973953219786,10917,True,arch,1
1,1,1,38.61654253049145,-109.61883263081772,1525,True,arch,7
2,2,2,38.63031446442724,-109.59864066091122,6311,True,arch,4
3,3,3,38.67039118965516,-109.58762541896543,580,True,arch,10
4,4,4,38.719382760656,-109.58850028852545,305,True,arch,12
5,5,5,38.74296846188592,-109.56454065045185,1994,True,arch,6
6,6,6,38.70068919914379,-109.56638403915582,3269,True,arch,5
7,7,7,38.72469432318438,-109.56300510773,854,True,arch,8
8,8,8,38.71896850389609,-109.55392623896095,385,True,arch,11
9,9,9,38.697479047499925,-109.5501180850002,800,True,arch,9
10,10,10,38.68720990950101,-109.53592700627682,9083,True,arch,2
11,11,11,38.741399502468674,-109.50271283882486,7495,True,arch,3
