,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,29.165943257320436,-103.61172096983034,1127,True,bibe,2
1,1,1,29.136221415094276,-103.52041363207533,636,True,bibe,5
2,2,2,29.14997900000001,-103.48775458192084,177,True,bibe,14
3,3,3,29.214704371134022,-103.37718747079035,291,True,bibe,11
4,4,4,29.27937637499999,-103.37011025277799,360,True,bibe,9
5,5,5,29.278444520140084,-103.32547849562184,571,True,bibe,6
6,6,6,29.27132695203699,-103.30159301340828,1939,True,bibe,1
7,7,7,29.27072802957487,-103.27683271719042,541,True,bibe,8
8,8,8,29.32817003519059,-103.20594246627573,341,True,bibe,10
9,9,9,29.399401464000015,-103.20268947599978,250,True,bibe,12
10,10,10,29.272116251082313,-103.13608595238105,231,True,bibe,13
11,11,11,29.178267028520516,-102.99761989661364,561,True,bibe,7
12,12,12,29.178309741791058,-102.95332204626831,670,True,bibe,3
13,13,13,29.19922989358372,-102.91851600625994,639,True,bibe,4
