,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,25.464012601869133,-80.33398013271056,535,True,bisc,1
1,1,1,25.506199199999998,-80.3351934,10,True,bisc,13
2,2,2,25.533870814814808,-80.31827356481485,108,True,bisc,3
3,3,3,25.387228125,-80.283798875,8,True,bisc,16
4,4,4,25.397308000000002,-80.23454533333334,9,True,bisc,15
5,5,5,25.44804823076923,-80.21200269230768,13,True,bisc,11
6,6,6,25.464870043478253,-80.20820247826089,46,True,bisc,6
7,7,7,25.666438363636356,-80.1990469090909,22,True,bisc,9
8,8,8,25.45286656363638,-80.19488470909086,55,True,bisc,5
9,9,9,25.486729763157896,-80.18851368421052,38,True,bisc,7
10,10,10,25.651340144927538,-80.17323337681161,69,True,bisc,4
11,11,11,25.505142133333333,-80.18083659999999,15,True,bisc,10
12,12,12,25.524574436619723,-80.17540554929579,142,True,bisc,2
13,13,13,25.38917542105263,-80.16357926315793,38,True,bisc,8
14,14,14,25.59034500000001,-80.161001,8,True,bisc,17
15,15,15,25.366115000000004,-80.13768300000001,10,True,bisc,14
16,16,16,25.590491499999995,-80.09693016666665,12,True,bisc,12
