,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,38.56645748672565,-107.75090235398224,113,True,blca,9
1,1,1,38.562838230000025,-107.74348734999998,100,True,blca,11
2,2,2,38.56904802597405,-107.73354816883123,154,True,blca,5
3,3,3,38.57474843703705,-107.72517728148134,135,True,blca,7
4,4,4,38.57706994696966,-107.7224722499999,132,True,blca,8
5,5,5,38.58715430769234,-107.7207782692308,52,True,blca,15
6,6,6,38.58108704826256,-107.71631204054032,518,True,blca,2
7,7,7,38.58776699999999,-107.7169020000001,112,True,blca,10
8,8,8,38.58386425114156,-107.70998091780862,219,True,blca,4
9,9,9,38.57344409090911,-107.70502736363639,99,True,blca,12
10,10,10,38.57110976351346,-107.70199399324302,148,True,blca,6
11,11,11,38.54039300000001,-107.70112899999997,39,True,blca,17
12,12,12,38.56525494117663,-107.69945201534519,391,True,blca,3
13,13,13,38.56140524390244,-107.68836792682924,41,True,blca,16
14,14,14,38.55344565616047,-107.68657849188163,1047,True,blca,1
15,15,15,38.540089000000044,-107.68605800000017,74,True,blca,14
16,16,16,38.56179225531916,-107.67783542553184,94,True,blca,13
