,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,37.50689154501861,-112.261292213639,1877,True,brca,3
1,2,1,37.53190861515163,-112.26025604040383,990,True,brca,5
2,3,2,37.47530056601881,-112.24030354993161,2984,True,brca,2
3,4,3,37.5447791586867,-112.24665717783842,731,True,brca,6
4,5,4,37.56309607792208,-112.23982912987016,77,True,brca,10
5,6,5,37.582756120879104,-112.2250685164835,91,True,brca,8
6,7,6,37.5874309821882,-112.21327363104318,393,True,brca,7
7,8,7,37.59863616666666,-112.20843966666668,18,True,brca,16
8,9,8,37.62054622672904,-112.1639196438343,42716,True,brca,1
9,10,9,37.584830631578946,-112.19566478947365,19,True,brca,14
10,11,10,37.58296593181823,-112.19087081818196,88,True,brca,9
11,12,11,37.57046483783785,-112.18396740540534,37,True,brca,12
12,13,12,37.566695457142835,-112.18323308571425,35,True,brca,13
13,14,13,37.68271898275863,-112.12619150000005,58,True,brca,11
14,15,14,37.670386,-112.12767000000002,18,True,brca,15
15,16,15,37.66524555113105,-112.11283266968304,1105,True,brca,4
