,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,38.456308577669894,-110.20498616019418,206,True,cany,7
1,1,1,38.391664467889925,-110.03303206422021,109,True,cany,12
2,2,2,38.36615789690723,-110.01348145360811,97,True,cany,13
3,3,3,38.44131010563382,-110.01005770422535,142,True,cany,11
4,4,4,38.22956074742266,-109.9990401649484,194,True,cany,8
5,5,5,38.15794283045972,-109.93974310057456,348,True,cany,6
6,6,6,38.42590554569586,-109.92374019872477,1882,True,cany,4
7,7,7,38.235400680851015,-109.91860231914914,188,True,cany,9
8,8,8,38.35316770791505,-109.86563008070401,9665,True,cany,1
9,9,9,38.241914723202484,-109.87876762143897,737,True,cany,5
10,10,10,38.14660866118976,-109.8106589948107,4625,True,cany,2
11,11,11,38.45343929538701,-109.8133595807293,2688,True,cany,3
12,12,12,37.98554671584707,-109.74369909289588,183,True,cany,10
