,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,32.12287957943925,-104.60142170093467,107,True,cave,7
1,1,1,32.13233000000002,-104.58510600000001,22,True,cave,17
2,2,2,32.12445236363638,-104.57611163636362,22,True,cave,18
3,3,3,32.135265000000295,-104.5702089999997,453,True,cave,3
4,4,4,32.114794808080624,-104.5660290000005,297,True,cave,4
5,5,5,32.10978424074072,-104.56290629629632,54,True,cave,10
6,6,6,32.150412174603154,-104.55738400000001,63,True,cave,9
7,7,7,32.147930119047565,-104.55670840476206,252,True,cave,5
8,8,8,32.16830125,-104.50502887500005,24,True,cave,16
9,9,9,32.165290500000005,-104.50228770000004,20,True,cave,19
10,10,10,32.176493891304354,-104.49580084782605,46,True,cave,12
11,11,11,32.11002612765961,-104.469801951064,470,True,cave,2
12,12,12,32.17625684839968,-104.4427116944492,8496,True,cave,1
13,13,13,32.164719000000034,-104.43790099999994,46,True,cave,13
14,14,14,32.18478450549452,-104.43543020879117,91,True,cave,8
15,15,15,32.187420813953494,-104.42170309302324,43,True,cave,15
16,16,16,32.19145591304349,-104.40376252173907,46,True,cave,14
17,17,17,32.187618060000005,-104.38709835999998,50,True,cave,11
18,18,18,32.17845109154932,-104.38202150704217,142,True,cave,6
