,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,34.032388851851856,-120.44100074074075,27,True,chis,13
1,1,1,34.019526387096775,-120.39132122580646,31,True,chis,12
2,2,2,34.04901147674417,-120.3517137034885,172,True,chis,8
3,3,3,33.997844723478174,-120.03732843130422,575,True,chis,4
4,4,4,34.07878375829386,-119.87842834597174,211,True,chis,7
5,5,5,33.95010528571427,-119.82267805714291,35,True,chis,11
6,6,6,34.025103640351006,-119.69587755821453,1254,True,chis,3
7,7,7,34.01819587681162,-119.77497647101438,138,True,chis,9
8,8,8,33.98339552925532,-119.71896159042561,376,True,chis,5
9,9,9,34.043712574428824,-119.56312192704587,2714,True,chis,2
10,10,10,34.01351102215366,-119.39421173199979,3250,True,chis,1
11,11,11,34.248094401084,-119.26690418428194,369,True,chis,6
12,12,12,33.474264719999994,-119.03942185333335,75,True,chis,10
