,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
5,6,5,33.806110999999994,-80.838888,8,True,cong,20
15,16,15,33.84357835294118,-80.8290894117647,17,True,cong,11
30,31,30,33.82587300724637,-80.82529656521744,138,True,cong,2
31,32,31,33.82202461290323,-80.82496700000002,31,True,cong,7
33,34,33,33.82355141666667,-80.82547441666667,36,True,cong,6
41,42,41,33.82846148076924,-80.82464055769232,52,True,cong,4
44,45,44,33.83016773952087,-80.82325624251563,334,True,cong,1
69,70,69,33.822007142857146,-80.8206589047619,21,True,cong,10
73,74,73,33.822107130434794,-80.81948965217393,23,True,cong,8
78,79,78,33.821892294871816,-80.8180062820513,78,True,cong,3
83,84,83,33.823136636363635,-80.818173,11,True,cong,17
93,94,93,33.821769727272745,-80.81687204545453,22,True,cong,9
99,100,99,33.821165,-80.81594399999997,12,True,cong,15
107,108,107,33.811262538461534,-80.81367715384614,13,True,cong,14
119,120,119,33.799119000000005,-80.79242799999999,15,True,cong,12
125,126,125,33.810368999999994,-80.78194099999999,10,True,cong,18
127,128,127,33.796579,-80.77686100000001,12,True,cong,16
128,129,128,33.788341,-80.776628,15,True,cong,13
129,130,129,33.80049899999997,-80.77490200000008,40,True,cong,5
134,135,134,33.753759,-80.64471200000001,9,True,cong,19
