,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,42.94534017803251,-122.16982394508125,1657,True,crla,2
1,1,1,42.93328786147194,-122.16956549783569,231,True,crla,13
2,2,2,42.92021015834617,-122.16223075741033,1282,True,crla,3
3,3,3,42.96427226152491,-122.1526081312059,1128,True,crla,4
4,4,4,42.911590282684145,-122.14500286493858,4857,True,crla,1
5,5,5,42.91646063583822,-122.14977572254372,173,True,crla,17
6,6,6,42.8966235031447,-122.13411708176103,159,True,crla,19
7,7,7,42.89286065782507,-122.13069258090249,377,True,crla,7
8,8,8,42.92830275949352,-122.12799819409278,237,True,crla,12
9,9,9,42.97996240225564,-122.11468350751888,266,True,crla,11
10,10,10,42.8843054086021,-122.09952124193545,186,True,crla,16
11,11,11,42.90215552014655,-122.09666982051299,273,True,crla,10
12,12,12,42.97751926276472,-122.08716171232918,803,True,crla,5
13,13,13,42.914197289786166,-122.07142565558193,421,True,crla,6
14,14,14,42.9275291506024,-122.0558379698795,166,True,crla,18
15,15,15,42.93504925789473,-122.04878150526334,190,True,crla,14
16,16,16,42.94871546560843,-122.04878658730172,189,True,crla,15
17,17,17,42.92194190145981,-122.01755269708055,274,True,crla,9
18,18,18,42.850013710769254,-122.0058107384615,325,True,crla,8
