,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,41.3930253121693,-81.6304905238096,189,True,cuva,16
2,3,2,41.3185377919999,-81.61723479999998,250,True,cuva,14
4,5,4,41.37299899999996,-81.61399513775491,196,True,cuva,15
13,14,13,41.19329125000024,-81.59170394821439,1680,True,cuva,3
18,19,18,41.17505039999983,-81.59129494117616,170,True,cuva,18
19,20,19,41.32001536133335,-81.58794133200024,750,True,cuva,7
21,22,21,41.19457378307625,-81.57891827629763,2139,True,cuva,1
24,25,24,41.357511032070036,-81.58109699125356,343,True,cuva,12
25,26,25,41.37339733870971,-81.57619226612904,124,True,cuva,20
26,27,26,41.26146401894239,-81.56483451775811,1267,True,cuva,4
28,29,28,41.28530219047638,-81.56945983068815,378,True,cuva,10
32,33,32,41.19059353288599,-81.56120583758396,745,True,cuva,8
34,35,34,41.23148074747474,-81.55300536700311,297,True,cuva,13
37,38,37,41.37287142245991,-81.54973574331542,187,True,cuva,17
38,39,38,41.18086895683465,-81.55104573381297,139,True,cuva,19
39,40,39,41.24313628571445,-81.54904280357182,896,True,cuva,6
40,41,40,41.277084564994844,-81.5398118968073,1754,True,cuva,2
43,44,43,41.38426932790682,-81.53321675348882,430,True,cuva,9
48,49,48,41.21908726162786,-81.52717418604647,344,True,cuva,11
51,52,51,41.22492322715619,-81.5116964884716,1171,True,cuva,5
