,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
12,13,12,63.74380099100406,-151.59439858920553,667,True,dena,2
78,79,78,63.07837328813558,-151.0539445508475,118,True,dena,19
82,83,82,63.06949213924086,-151.00706071518962,316,True,dena,10
98,99,98,63.52509683050864,-150.9599017118646,118,True,dena,20
129,130,129,63.45370768794322,-150.8614573475178,141,True,dena,16
137,138,137,63.640999117301654,-150.84599388269865,341,True,dena,8
172,173,172,62.967639028368794,-150.7470363049647,141,True,dena,15
236,237,236,63.32934099999989,-150.48104780000003,135,True,dena,17
270,271,270,63.43101300000012,-150.3250700000002,120,True,dena,18
276,277,276,63.43090596739136,-150.31128480615993,552,True,dena,4
303,304,303,63.457140254716926,-150.2278450424528,212,True,dena,13
344,345,344,63.52134584029494,-150.04218293611805,407,True,dena,5
394,395,394,63.53578297074007,-149.82533105507756,581,True,dena,3
455,456,455,63.65439488461538,-149.56801206410256,156,True,dena,14
514,515,514,63.73976987771731,-149.29308303532613,368,True,dena,6
599,600,599,63.7200034235806,-148.9675921441045,229,True,dena,12
628,629,628,63.73404061445801,-148.9140116132527,830,True,dena,1
641,642,641,63.73219262039672,-148.89584125495716,353,True,dena,7
644,645,644,63.74225683480823,-148.89509425663718,339,True,dena,9
687,688,687,63.65564443589748,-148.83274146153832,273,True,dena,11
