,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
6,7,6,37.10402579186221,-117.67312155086053,639,True,deva,14
18,19,18,36.35469771740538,-117.54689012973705,1557,True,deva,7
19,20,19,36.68908421404682,-117.56674162207386,598,True,deva,15
20,21,20,36.666633423969074,-117.56153036469067,776,True,deva,12
28,29,28,36.338949576687156,-117.4642288527605,489,True,deva,17
33,34,33,37.00977950046774,-117.45394723573443,1069,True,deva,10
35,36,35,36.34061710301508,-117.40584170100509,398,True,deva,19
44,45,44,37.03243818010485,-117.34136141756784,2493,True,deva,6
73,74,73,36.38624658004632,-117.15504890951233,431,True,deva,18
74,75,74,36.610435146528474,-117.11682263831544,6149,True,deva,2
76,77,76,36.568604453525666,-117.14128352804502,1248,True,deva,8
99,100,99,36.24692962622307,-117.07626806262212,511,True,deva,16
115,116,115,36.59136163024272,-116.99348179580564,906,True,deva,11
138,139,138,36.43482732921344,-116.83635634943899,15130,True,deva,1
143,144,143,36.37979239071035,-116.82365953005473,366,True,deva,20
145,146,145,36.35154320990268,-116.80228262412803,2868,True,deva,4
146,147,146,36.28822785436898,-116.82464284951487,1236,True,deva,9
151,152,151,36.23057270087648,-116.77043299045827,5135,True,deva,3
154,155,154,36.28336664492749,-116.76689345942033,690,True,deva,13
169,170,169,36.22027990321401,-116.72703147838912,2707,True,deva,5
