,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,24.628261,-82.87462,54,True,drto,10
1,2,1,24.628238000000007,-82.87405000000003,63,True,drto,7
4,5,4,24.628822015503935,-82.87325293798445,129,True,drto,2
5,6,5,24.627213113636355,-82.8732706818182,44,True,drto,11
8,9,8,24.62786525,-82.87316990625001,32,True,drto,18
9,10,9,24.628955104761886,-82.87321549523823,105,True,drto,4
18,19,18,24.62737600000002,-82.87303800000005,39,True,drto,13
21,22,21,24.62759899999997,-82.87296299999987,72,True,drto,6
26,27,26,24.62843900000001,-82.87291999999988,61,True,drto,8
27,28,27,24.627901249999976,-82.87289979166671,72,True,drto,5
36,37,36,24.627647059322037,-82.87247327966101,118,True,drto,3
37,38,37,24.627294000000003,-82.87262300000002,29,True,drto,20
42,43,42,24.62752372727272,-82.87238630303028,33,True,drto,17
47,48,47,24.627493851851835,-82.87226212962959,54,True,drto,9
51,52,51,24.627364595238085,-82.8721163095239,42,True,drto,12
52,53,52,24.627882647959268,-82.87205247959203,196,True,drto,1
55,56,55,24.627527264705893,-82.87183252941179,34,True,drto,16
58,59,58,24.629018999999982,-82.871932,37,True,drto,14
60,61,60,24.627481699999986,-82.87172899999997,30,True,drto,19
61,62,61,24.63048800000001,-82.87124600000003,35,True,drto,15
