,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,25.81078217507419,-81.36271138278921,337,True,ever,12
1,1,1,25.331110086834737,-80.99910172881275,55867,True,ever,1
2,2,2,25.140767981539675,-80.92896137509797,2546,True,ever,4
3,3,3,25.186628321100912,-80.89380843119245,218,True,ever,16
4,4,4,25.213527009803908,-80.85092738725491,204,True,ever,17
5,5,5,25.32306411851854,-80.83298722962961,405,True,ever,10
6,6,6,25.253920994117646,-80.7978724058823,170,True,ever,18
7,7,7,25.441222489465137,-80.78361714262562,617,True,ever,8
8,8,8,25.755788909396134,-80.76702735421394,2682,True,ever,3
9,9,9,25.65746178468904,-80.76618708373235,836,True,ever,7
10,10,10,25.572608334821517,-80.7026083214287,224,True,ever,15
11,11,11,25.369834416058413,-80.68482550000013,274,True,ever,13
12,12,12,25.399680918719223,-80.65816285468013,406,True,ever,9
13,13,13,25.760101599236812,-80.62626731774753,1048,True,ever,6
14,14,14,25.382402360839293,-80.60761652517505,5720,True,ever,2
15,15,15,25.395285385444744,-80.58346036657673,371,True,ever,11
16,16,16,25.75977420320392,-80.580397906408,1186,True,ever,5
17,17,17,25.760666943181818,-80.56118081818177,264,True,ever,14
