,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,66.87520038410592,-155.66602852980108,151,True,gaar,2
1,2,1,67.76713356363638,-155.03513378181822,110,True,gaar,4
2,3,2,68.25332586440678,-154.62963061016953,59,True,gaar,7
3,4,3,67.84912225,-154.53730246875,32,True,gaar,10
4,5,4,67.89197230337079,-154.04772176404492,89,True,gaar,6
5,6,5,67.44724588834953,-154.05298315048543,206,True,gaar,1
6,7,6,68.23173138461537,-152.1082918461538,26,True,gaar,11
7,8,7,68.14224247826085,-151.7434445652174,46,True,gaar,8
8,9,8,68.21819466956522,-150.7496101652174,115,True,gaar,3
9,10,9,68.14592366315787,-150.2091306631579,95,True,gaar,5
10,11,10,68.29628206666666,-149.72104495555556,45,True,gaar,9
