,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,48.830348396946555,-114.200514572519,393,True,glac,13
1,1,1,48.52861814814801,-113.99316896476996,1107,True,glac,5
2,2,2,48.6175402642391,-113.87889385901005,1071,True,glac,6
3,3,3,48.63956024022338,-113.86121669273716,537,True,glac,11
4,4,4,48.671647533239415,-113.80672751815248,2121,True,glac,3
5,5,5,48.708360280501985,-113.7323253550176,10991,True,glac,1
6,6,6,48.759958311881235,-113.7868995321779,404,True,glac,12
7,7,7,48.8201931702944,-113.73681752624822,781,True,glac,9
8,8,8,48.79033263386273,-113.67995571073742,6361,True,glac,2
9,9,9,48.6716117879997,-113.60519797039991,1250,True,glac,4
10,10,10,48.691447077369304,-113.52854334526153,1034,True,glac,7
11,11,11,48.74680738834953,-113.43726669209438,721,True,glac,10
12,12,12,48.48518662322273,-113.36876366706207,844,True,glac,8
