,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,39.00468271584697,-114.30640808014564,549,True,grba,2
1,1,1,38.97009248000001,-114.31554899999998,25,True,grba,8
2,2,2,38.985975119999914,-114.31394042400008,125,True,grba,3
3,3,3,38.98333303448276,-114.30000010344834,29,True,grba,6
4,4,4,39.026624038461534,-114.28656873076919,26,True,grba,7
5,5,5,39.02042271764706,-114.27466830588226,85,True,grba,4
6,6,6,39.033589400000004,-114.27163400000002,10,True,grba,12
7,7,7,39.01306415909091,-114.25163047727273,44,True,grba,5
8,8,8,39.03515800000001,-114.257043,10,True,grba,13
9,9,9,38.929154000000004,-114.25322209999999,10,True,grba,14
10,10,10,38.9835361875,-114.24284850000002,16,True,grba,10
11,11,11,38.99118099999999,-114.22575430769233,13,True,grba,11
12,12,12,39.00579559000033,-114.22022948250043,800,True,grba,1
13,13,13,39.010292666666665,-114.20805955555556,18,True,grba,9
