,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,35.97828374021888,-113.76940225430344,1278,True,grca,5
1,1,1,36.21769071225073,-113.05703062393155,351,True,grca,10
2,2,2,36.304998777777755,-112.7599700555557,162,True,grca,12
3,3,3,36.39163774452554,-112.50694794890508,137,True,grca,14
4,4,4,36.23445321052636,-112.34359548120314,133,True,grca,15
5,5,5,36.063099388680044,-112.12623764858094,40208,True,grca,1
6,6,6,36.25,-112.21000073426569,143,True,grca,13
7,7,7,36.19659837115998,-112.05089024138006,3190,True,grca,3
8,8,8,36.00253496373941,-111.9859848685549,1765,True,grca,4
9,9,9,36.27876050551877,-111.97855437969096,453,True,grca,9
10,10,10,36.121239663700955,-111.94765043950167,1124,True,grca,6
11,11,11,36.00503675097643,-111.92428834179715,1024,True,grca,7
12,12,12,36.04042398369157,-111.83285619417506,7174,True,grca,2
13,13,13,36.19289369565214,-111.79648422608682,230,True,grca,11
14,14,14,36.81767739402183,-111.63165603804387,736,True,grca,8
