,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,35.503747779487135,-83.97614687692324,195,True,grsm,13
1,1,1,35.631070149606316,-83.94238122047257,254,True,grsm,9
2,2,2,35.59857790265291,-83.8220702994199,5691,True,grsm,2
3,3,3,35.520631599221794,-83.86515262645916,257,True,grsm,8
4,4,4,35.66021207438494,-83.65084495586862,4396,True,grsm,3
5,5,5,35.68042512789403,-83.48819401250681,20392,True,grsm,1
6,6,6,35.55946859301996,-83.49679177166473,3381,True,grsm,4
7,7,7,35.46697162932792,-83.43250447861497,491,True,grsm,7
8,8,8,35.7408963915344,-83.41523034391525,189,True,grsm,14
9,9,9,35.69746053672316,-83.38813802259885,177,True,grsm,15
10,10,10,35.70813943111107,-83.31313641777781,225,True,grsm,10
11,11,11,35.52140402250354,-83.30583999156126,2133,True,grsm,5
12,12,12,35.76276693518524,-83.16151523611116,216,True,grsm,12
13,13,13,35.744193870967734,-83.12120567281107,217,True,grsm,11
14,14,14,35.62547567294116,-83.10441043529404,850,True,grsm,6
