,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
3,4,3,43.59691840610333,-110.87132966431929,852,True,grte,11
33,34,33,43.761031688676354,-110.73334171730181,4786,True,grte,1
36,37,36,43.70049375288677,-110.7421727621246,866,True,grte,9
45,46,45,43.78826899451756,-110.72921314912344,912,True,grte,8
53,54,53,43.71082669637882,-110.72746030362117,359,True,grte,20
62,63,62,43.65632857568401,-110.71569701823755,1645,True,grte,4
76,77,76,43.66501316317013,-110.6904201048951,429,True,grte,18
89,90,89,43.711046718322756,-110.67212288878785,1097,True,grte,7
95,96,95,43.98233756050951,-110.66296697292996,628,True,grte,15
96,97,96,43.662834133642484,-110.66441826433434,2372,True,grte,2
99,100,99,43.717701036529725,-110.66040882191766,438,True,grte,17
105,106,105,43.903134341072686,-110.64416991193023,1249,True,grte,6
115,116,115,43.77398200000024,-110.63288299999914,364,True,grte,19
121,122,121,43.75387282028241,-110.62403419255487,779,True,grte,13
128,129,128,43.84366929198134,-110.61202738578011,661,True,grte,14
131,132,131,43.853377976601045,-110.59232711699511,812,True,grte,12
135,136,135,43.87460938966888,-110.57583314766974,1781,True,grte,3
137,138,137,43.84754539953532,-110.57149661788648,861,True,grte,10
141,142,141,43.86604396701923,-110.54920058618514,1607,True,grte,5
146,147,146,43.80900578873235,-110.52795631589534,497,True,grte,16
