,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,31.89137044169605,-104.86060124381588,283,True,gumo,1
1,1,1,31.90577130252101,-104.84707962184868,119,True,gumo,4
2,2,2,31.90151936363633,-104.84397294805211,77,True,gumo,8
3,3,3,31.901729727272695,-104.84120247272739,55,True,gumo,10
4,4,4,31.897001457142842,-104.83908402857149,35,True,gumo,15
5,5,5,31.902534999999965,-104.83930999999998,46,True,gumo,11
6,6,6,31.994574838709678,-104.83306735483873,31,True,gumo,16
7,7,7,31.89589255793995,-104.82688878540763,233,True,gumo,3
8,8,8,31.893950915999973,-104.82191330399993,250,True,gumo,2
9,9,9,31.893826209677414,-104.81719177419346,62,True,gumo,9
10,10,10,31.918106810126567,-104.80637640506333,79,True,gumo,6
11,11,11,31.907330238532104,-104.801366559633,109,True,gumo,5
12,12,12,31.910428500000002,-104.79892542857142,28,True,gumo,17
13,13,13,31.970844513513512,-104.78798127027031,37,True,gumo,14
14,14,14,31.983383500000006,-104.78012099999998,42,True,gumo,12
15,15,15,31.984840589743598,-104.77615035897429,39,True,gumo,13
16,16,16,31.97842066666667,-104.75362294871792,78,True,gumo,7
