,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,20.712119294758338,-156.24966861073864,10741,True,hale,1
1,1,1,20.759641490506304,-156.24616462341768,316,True,hale,6
2,2,2,20.76870428571426,-156.24303594557807,147,True,hale,10
3,3,3,20.74826793908627,-156.2338740456851,394,True,hale,5
4,4,4,20.73661334782619,-156.2349586918394,1311,True,hale,3
5,5,5,20.7680703359375,-156.2372268124999,128,True,hale,11
6,6,6,20.74418496086962,-156.22906991521748,460,True,hale,4
7,7,7,20.754848869565233,-156.21533695652184,207,True,hale,9
8,8,8,20.707002661764722,-156.21301973529404,68,True,hale,13
9,9,9,20.71597165079365,-156.20666550793658,63,True,hale,14
10,10,10,20.722298333333356,-156.197892453704,108,True,hale,12
11,11,11,20.713698419014023,-156.16740271830972,284,True,hale,7
12,12,12,20.649171303999953,-156.082522844,250,True,hale,8
13,13,13,20.66600136505827,-156.0469923500842,3005,True,hale,2
