,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,19.07193396581196,-155.73883538461527,234,True,havo,2
1,1,1,19.10945842201835,-155.7174840000003,109,True,havo,4
2,2,2,19.06921118181817,-155.68380693939397,33,True,havo,5
3,3,3,19.423377,-155.61891299999996,16,True,havo,7
4,4,4,19.487933007575744,-155.58322382575767,132,True,havo,3
5,5,5,19.530769,-155.4674485,2,True,havo,11
6,6,6,19.489897,-155.44967799999998,6,True,havo,9
7,7,7,19.266155666666666,-155.40651333333332,3,True,havo,10
8,8,8,19.38808617444759,-155.2276146930723,23348,True,havo,1
9,9,9,19.203588,-155.37696649999998,2,True,havo,12
10,10,10,19.29643125,-155.36128775,8,True,havo,8
11,11,11,19.212726999999987,-155.34877099999997,22,True,havo,6
