,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,34.51277000000003,-93.05386600000011,60,True,hosp,5
1,1,1,34.51441500000005,-93.05377099999994,60,True,hosp,4
2,2,2,34.512113,-93.05377000000004,50,True,hosp,8
3,3,3,34.51413299999996,-93.05375900000004,61,True,hosp,3
4,4,4,34.513433999999975,-93.05372700000005,53,True,hosp,6
5,5,5,34.513739260869556,-93.05369821739129,23,True,hosp,15
6,6,6,34.51326880952381,-93.05366699999998,21,True,hosp,16
7,7,7,34.51361081578948,-93.05366218421047,38,True,hosp,9
8,8,8,34.514572300000005,-93.05362999999996,20,True,hosp,17
9,9,9,34.514226,-93.0535920000001,51,True,hosp,7
10,10,10,34.51373232738098,-93.05351781547637,168,True,hosp,1
11,11,11,34.514552999999985,-93.05343200000002,30,True,hosp,12
12,12,12,34.51380199999997,-93.05339400000001,32,True,hosp,11
13,13,13,34.515601000000025,-93.05321199999999,27,True,hosp,14
14,14,14,34.51582099999999,-93.05226799999996,30,True,hosp,13
15,15,15,34.518128000000004,-93.05069000000002,36,True,hosp,10
16,16,16,34.51728177777775,-93.04616599999994,81,True,hosp,2
