,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
2,3,2,41.52181465384616,-87.45036559615389,104,True,indu,15
9,10,9,41.52405310576923,-87.29203766346151,104,True,indu,16
19,20,19,41.606709878260794,-87.26863804347832,230,True,indu,10
27,28,27,41.610091714285716,-87.22249695535702,112,True,indu,14
29,30,29,41.62547080138568,-87.20757410392612,433,True,indu,4
42,43,42,41.61744447547176,-87.18746994339651,265,True,indu,8
44,45,44,41.62963915116286,-87.1857278023255,86,True,indu,19
45,46,45,41.63122075704226,-87.17830847535232,284,True,indu,7
66,67,66,41.62656393495931,-87.08940727371255,369,True,indu,6
74,75,74,41.66253216981127,-87.06338873584927,742,True,indu,1
79,80,79,41.645432402061864,-87.06132947422685,97,True,indu,17
89,90,89,41.65968281818165,-87.04984895959622,198,True,indu,11
98,99,98,41.66916389010988,-87.03956428571428,91,True,indu,18
106,107,106,41.676551518518515,-87.01987530864199,81,True,indu,20
110,111,110,41.68025055084748,-87.01077893220341,118,True,indu,13
116,117,116,41.68523247008557,-86.9990957094015,468,True,indu,3
120,121,120,41.67852046249989,-86.98637059374967,160,True,indu,12
122,123,122,41.67343688114745,-86.98615713524624,244,True,indu,9
143,144,143,41.70448829758712,-86.94730223860596,373,True,indu,5
155,156,155,41.70854652262083,-86.93082648205956,641,True,indu,2
