,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
24,25,24,47.912502175438554,-89.15761717982463,228,True,isro,3
41,42,41,47.89156452380951,-88.99870199999997,42,True,isro,20
44,45,44,47.96981474324326,-88.97499568918924,74,True,isro,12
51,52,51,47.99585425000006,-88.90939553731334,268,True,isro,2
58,59,58,47.9858524969696,-88.80362748484838,165,True,isro,5
82,83,82,48.11069613235295,-88.68536377941176,68,True,isro,13
98,99,98,48.029697625000026,-88.64986544230788,104,True,isro,7
100,101,100,48.08090300000003,-88.6476939999998,164,True,isro,6
101,102,101,48.06315349999998,-88.6445853478261,46,True,isro,19
110,111,110,48.0918275301205,-88.59472084337355,83,True,isro,10
111,112,111,48.08755046296292,-88.59038822222227,54,True,isro,16
114,115,114,48.08902018032789,-88.58471275409839,61,True,isro,14
133,134,133,48.126871434343485,-88.52436488888891,99,True,isro,9
136,137,136,48.150583391891985,-88.52283032432442,74,True,isro,11
139,140,139,48.14499761751156,-88.48674995622169,434,True,isro,1
147,148,147,48.151262254545436,-88.47513701818178,55,True,isro,15
157,158,157,48.16165431891889,-88.45765116216216,185,True,isro,4
159,160,159,48.18297240776697,-88.43899618446615,103,True,isro,8
160,161,160,48.186286452830174,-88.43042326415097,53,True,isro,18
162,163,162,48.22463309433964,-88.3644603962264,53,True,isro,17
