,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
135,136,135,38.62530100000003,-90.18872799999968,156,True,jeff,13
204,205,204,38.62502200000009,-90.18730900000025,142,True,jeff,14
217,218,217,38.62510000425538,-90.18682101276556,235,True,jeff,6
221,222,221,38.62400100000007,-90.1867679999997,160,True,jeff,12
224,225,224,38.624925000000054,-90.18638100000004,120,True,jeff,17
225,226,225,38.62287199999994,-90.18584399999982,110,True,jeff,19
369,370,369,38.62501800000005,-90.1852440000001,116,True,jeff,18
473,474,473,38.62469899999997,-90.18509300000004,175,True,jeff,10
487,488,487,38.624698441077484,-90.18507164983173,297,True,jeff,5
503,504,503,38.624634041791076,-90.18505023582094,335,True,jeff,2
546,547,546,38.624649877862616,-90.18500897709947,131,True,jeff,16
556,557,556,38.62460424401907,-90.18497369378012,209,True,jeff,8
593,594,593,38.624683643939456,-90.18495618181836,132,True,jeff,15
626,627,626,38.624755761193924,-90.18492122388074,201,True,jeff,9
702,703,702,38.62473300000009,-90.18485700000016,315,True,jeff,4
709,710,709,38.62454799999985,-90.18484700000032,162,True,jeff,11
812,813,812,38.624733000000155,-90.18470728142098,366,True,jeff,1
986,987,986,38.626944999999985,-90.18408500000004,106,True,jeff,20
1016,1017,1016,38.62769100606042,-90.17501998181777,330,True,jeff,3
1017,1018,1017,38.626119999999986,-90.17423600000002,230,True,jeff,7
