,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,34.093589485596794,-116.26516189300419,243,True,jotr,17
1,2,1,34.05041376595743,-116.2065818244679,188,True,jotr,20
3,4,3,34.04040993129783,-116.19746685687014,524,True,jotr,9
4,5,4,33.92667128333335,-116.1874200143936,1320,True,jotr,5
5,6,5,34.027736112412164,-116.17805398360686,427,True,jotr,10
6,7,6,34.014521067667175,-116.16708005209468,3532,True,jotr,1
7,8,7,34.095374035483864,-116.15882396129022,620,True,jotr,7
8,9,8,33.98936941558439,-116.1632023714285,385,True,jotr,12
9,10,9,33.98365866308242,-116.15188544802851,279,True,jotr,16
10,11,10,33.9990808601824,-116.14577545896682,329,True,jotr,14
11,12,11,34.028699760728884,-116.14503742504391,1701,True,jotr,3
12,13,12,33.998168079411776,-116.13547588235302,340,True,jotr,13
13,14,13,33.98635244444439,-116.13463610683765,234,True,jotr,19
14,15,14,34.10720522108839,-116.10583113945603,294,True,jotr,15
15,16,15,33.99471419837378,-116.06232475569094,2460,True,jotr,2
16,17,16,34.1285810548523,-116.03818451476789,237,True,jotr,18
17,18,17,33.984876371307976,-116.0156586308016,948,True,jotr,6
18,19,18,33.89580485421974,-115.94919968542132,391,True,jotr,11
19,20,19,33.92489804050471,-115.92919178552502,1506,True,jotr,4
20,21,20,33.73507082943147,-115.8056965568562,598,True,jotr,8
