,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,58.55415514931677,-155.78446453596123,2920,True,katm,1
1,1,1,58.37446533333332,-155.38287294623646,93,True,katm,6
2,2,2,58.24773447619047,-155.16449352380954,63,True,katm,8
3,3,3,58.34924435294118,-155.11785570588233,17,True,katm,12
4,4,4,58.982920312500006,-155.10602212499998,16,True,katm,13
5,5,5,58.17524259999995,-155.02197185714283,35,True,katm,10
6,6,6,59.21390617910448,-154.95925367164168,67,True,katm,7
7,7,7,58.12527293491145,-154.60361874556256,169,True,katm,4
8,8,8,58.202007370370374,-154.48043355555558,27,True,katm,11
9,9,9,58.313648999999984,-154.25276118518514,243,True,katm,3
10,10,10,58.429227054474715,-154.0742351926071,514,True,katm,2
11,11,11,58.564256470588234,-153.90164319607837,51,True,katm,9
12,12,12,59.05601919999994,-153.73165459285752,140,True,katm,5
13,13,13,58.61622436363636,-153.75636781818184,11,True,katm,14
14,14,14,58.779318181818184,-153.42178481818183,11,True,katm,15
