,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
4,5,4,36.747377895660186,-118.97239126084929,2166,True,kica,1
8,9,8,36.71854730654757,-118.96674173809528,336,True,kica,7
12,13,12,36.74127100909093,-118.9637140945457,550,True,kica,3
33,34,33,36.75376728965517,-118.94463253793104,145,True,kica,19
54,55,54,36.71948394554449,-118.8973826435647,202,True,kica,14
143,144,143,37.17149501607718,-118.69804643729923,311,True,kica,9
151,152,151,37.12432052100835,-118.69109314285718,238,True,kica,12
187,188,187,36.79002314450911,-118.66869762235079,519,True,kica,4
188,189,188,37.112307558718875,-118.67082756227757,281,True,kica,10
230,231,230,36.78244969230772,-118.62202655203626,221,True,kica,13
252,253,252,36.7923775543174,-118.59418108077978,718,True,kica,2
298,299,298,37.12466599999991,-118.57416699999987,195,True,kica,15
420,421,420,37.09443083606571,-118.50287462295083,183,True,kica,16
450,451,450,37.03328439583332,-118.46135811805549,144,True,kica,20
522,523,522,36.78917282000007,-118.41259739999992,450,True,kica,5
547,548,547,36.93515049655177,-118.4121941172413,145,True,kica,18
563,564,563,36.80470675113125,-118.40038502488743,442,True,kica,6
567,568,567,36.77414269798658,-118.39992536912753,149,True,kica,17
608,609,608,36.773149449056596,-118.37661395094335,265,True,kica,11
614,615,614,36.69845972523962,-118.37155985623004,313,True,kica,8
