,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,60.18359164705884,-154.55799017647064,17,True,lacl,8
1,2,1,60.20536790123455,-154.30873975308648,81,True,lacl,5
2,3,2,60.34132433333329,-153.9129061078432,102,True,lacl,2
3,4,3,60.733714413793095,-153.93306419540232,87,True,lacl,4
4,5,4,59.86136493150683,-153.13554326027395,73,True,lacl,6
5,6,5,60.06174231250001,-152.94036899999998,16,True,lacl,9
6,7,6,60.42482717582413,-152.80130210989026,91,True,lacl,3
7,8,7,60.24564706249999,-152.86111443749996,16,True,lacl,10
8,9,8,59.992525409395945,-152.64730753691273,149,True,lacl,1
9,10,9,60.15205183333333,-152.68169341666666,12,True,lacl,11
10,11,10,60.25016366666666,-152.53382800000003,21,True,lacl,7
