,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
3,4,3,40.53679901960783,-121.57029526797388,153,True,lavo,12
4,5,4,40.533971836206874,-121.57019668965532,116,True,lavo,18
8,9,8,40.531996193717276,-121.56544757068076,191,True,lavo,7
27,28,27,40.536341388888914,-121.56260213492048,126,True,lavo,16
103,104,103,40.44917471910117,-121.53488355377186,623,True,lavo,3
113,114,113,40.437469855555534,-121.53360336111119,180,True,lavo,8
172,173,172,40.467339976562464,-121.51831787500001,128,True,lavo,15
183,184,183,40.464989890299094,-121.51156249229383,1103,True,lavo,2
216,217,216,40.48762552999999,-121.50575493333363,300,True,lavo,5
230,231,230,40.474707838709676,-121.50571033548385,155,True,lavo,11
231,232,231,40.45763033637096,-121.50206812510295,1207,True,lavo,1
331,332,331,40.45998831932774,-121.46698587394951,119,True,lavo,17
338,339,338,40.50937685815604,-121.46572512056719,141,True,lavo,13
340,341,340,40.51582958522725,-121.46508049431799,176,True,lavo,9
355,356,355,40.46019013084112,-121.4590631308411,107,True,lavo,19
368,369,368,40.46941200000012,-121.45248400000014,173,True,lavo,10
398,399,398,40.49414884536081,-121.42461222680417,97,True,lavo,20
399,400,399,40.49123872307688,-121.4241706769233,130,True,lavo,14
400,401,400,40.49460499999991,-121.42418600000018,200,True,lavo,6
495,496,495,40.54847168270944,-121.319534791444,561,True,lavo,4
