,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
1,2,1,37.20220757142857,-86.23740142857142,14,True,maca,14
3,4,3,37.223001363636364,-86.22840045454546,11,True,maca,18
8,9,8,37.20680700000001,-86.19747499999997,14,True,maca,13
14,15,14,37.18631700000002,-86.169306,17,True,maca,11
16,17,16,37.16408079166667,-86.15874506249997,48,True,maca,4
17,18,17,37.149594777777786,-86.15415397777785,45,True,maca,6
19,20,19,37.208916428571435,-86.14721142857142,7,True,maca,20
25,26,25,37.169491,-86.114106,13,True,maca,15
26,27,26,37.186847474007486,-86.10293988601805,3097,True,maca,1
29,30,29,37.151244941860455,-86.09927240697678,86,True,maca,3
31,32,31,37.16368929032257,-86.09303364516133,31,True,maca,7
32,33,32,37.16801243749999,-86.0922495,16,True,maca,12
33,34,33,37.18184876923077,-86.09142184615384,13,True,maca,16
34,35,34,37.19134474999998,-86.09001125000005,48,True,maca,5
38,39,38,37.171453250000006,-86.08838308333333,12,True,maca,17
39,40,39,37.167994000000014,-86.078095,27,True,maca,9
40,41,40,37.19778811111112,-86.07373577777778,9,True,maca,19
43,44,43,37.1507650432099,-86.06157575925947,324,True,maca,2
45,46,45,37.153479777777775,-86.05605138888887,18,True,maca,10
47,48,47,37.152940774193546,-86.047582516129,31,True,maca,8
