,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,37.26186858333333,-108.54913208333333,12,True,meve,8
1,2,1,37.19066117788455,-108.53532484935877,624,True,meve,3
2,3,2,37.26636925,-108.51904400000001,8,True,meve,9
3,4,3,37.303907750000214,-108.43406058580435,1888,True,meve,2
4,5,4,37.23850470662458,-108.50424277918005,317,True,meve,5
5,6,5,37.258433488024004,-108.49573080538903,334,True,meve,4
6,7,6,37.17087680994548,-108.47800330790257,7340,True,meve,1
7,8,7,37.236582622641514,-108.46102281760989,159,True,meve,6
8,9,8,37.253257051094884,-108.45556404379546,137,True,meve,7
9,10,9,37.261619,-108.43814799999998,8,True,meve,10
