,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,46.940835152862874,-121.86188165591975,1799,True,mora,4
1,1,1,46.72903600000019,-121.85691999999918,292,True,mora,15
2,2,2,46.749548964191135,-121.81319456432297,1508,True,mora,6
3,3,3,46.791387289005456,-121.73922555570495,23086,True,mora,1
4,4,4,46.946276897280995,-121.79128495166206,331,True,mora,14
5,5,5,46.880409847645545,-121.72533138227132,361,True,mora,11
6,6,6,46.90074633137833,-121.71404767155427,341,True,mora,13
7,7,7,46.85921961079577,-121.70403507954616,352,True,mora,12
8,8,8,46.91499733206129,-121.64729313911576,7598,True,mora,2
9,9,9,46.963863027227795,-121.67966421782188,404,True,mora,10
10,10,10,46.85908039052121,-121.65425161232234,1055,True,mora,7
11,11,11,46.76544472947773,-121.63592788059707,536,True,mora,9
12,12,12,46.75324528921919,-121.55956963976647,1549,True,mora,5
13,13,13,46.90852360194157,-121.5082561035599,618,True,mora,8
14,14,14,46.86739142482796,-121.51418031829935,2328,True,mora,3
