,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,48.82154308399377,-121.60877461331253,631,True,noca,2
4,5,4,48.711062390624974,-121.53850193750003,64,True,noca,11
5,6,5,48.847883241379286,-121.530929775862,58,True,noca,14
7,8,7,48.9120485652174,-121.45502173913049,46,True,noca,18
12,13,12,48.84677015637869,-121.3536947530868,243,True,noca,5
13,14,13,48.94938667948724,-121.35850639743596,78,True,noca,10
14,15,14,48.68504377419355,-121.32497787096777,62,True,noca,12
15,16,15,48.955235533333315,-121.29883844444453,45,True,noca,20
18,19,18,48.971463901234614,-121.25920567901228,81,True,noca,9
24,25,24,48.496525200607884,-121.198846243161,329,True,noca,4
27,28,27,48.65980611111113,-121.13927309259277,54,True,noca,16
28,29,28,48.635219655737664,-121.14073875409848,61,True,noca,13
29,30,29,48.54527554733723,-121.11336003550309,338,True,noca,3
30,31,30,48.7452594,-121.1303655272727,55,True,noca,15
31,32,31,48.47818076314365,-121.0555475916089,1883,True,noca,1
35,36,35,48.48672042307692,-120.90846709615383,52,True,noca,17
37,38,37,48.570580842975176,-120.84924311570245,121,True,noca,6
38,39,38,48.38682721176471,-120.84479496470581,85,True,noca,8
39,40,39,48.52298452173914,-120.8169153913044,46,True,noca,19
40,41,40,48.50211943877553,-120.77036226530613,98,True,noca,7
