,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,48.14628351646896,-124.72006006587586,759,True,olym,9
1,2,1,48.25765794818656,-124.68948857858382,579,True,olym,10
2,3,2,48.15273137021274,-124.67146547659573,235,True,olym,19
5,6,5,47.92812328886603,-124.64190655217132,2856,True,olym,6
8,9,8,47.88235592365827,-124.60770235071863,1323,True,olym,8
13,14,13,47.66730991054773,-124.39824103406431,6987,True,olym,3
18,19,18,47.86154357073266,-123.92796424767965,4312,True,olym,5
20,21,20,48.008434800796884,-123.91162162151365,251,True,olym,18
21,22,21,48.062268583931406,-123.81016917596628,4319,True,olym,4
24,25,24,47.94046651029048,-123.81325794881316,1895,True,olym,7
33,34,33,47.836894630996355,-123.68971787822912,271,True,olym,17
39,40,39,47.99983815047523,-123.59773583485479,10294,True,olym,1
43,44,43,47.9802646994497,-123.49003152491571,8348,True,olym,2
45,46,45,47.660955518518435,-123.40463470940209,351,True,olym,14
47,48,47,48.098594016908244,-123.4280410362323,414,True,olym,13
49,50,49,47.90946864915973,-123.36560605042004,476,True,olym,12
50,51,50,47.5244845679513,-123.34074998782962,493,True,olym,11
51,52,51,47.79614785589513,-123.34638568558984,229,True,olym,20
52,53,52,47.56320481850537,-123.33781521708178,281,True,olym,16
57,58,57,47.823982222591404,-123.21913108970085,301,True,olym,15
