,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
1,2,1,34.81548520223394,-109.86594275191015,1701,True,pefo,1
3,4,3,34.810318430693066,-109.85755190099013,202,True,pefo,17
10,11,10,34.888324885196326,-109.80723538066472,331,True,pefo,11
12,13,12,35.05126294211579,-109.80529171856298,501,True,pefo,6
17,18,17,35.081359792682925,-109.80159614329283,328,True,pefo,12
18,19,18,35.08966801219517,-109.80120928048754,246,True,pefo,15
19,20,19,34.961906525745256,-109.79865000271012,369,True,pefo,7
22,23,22,35.069221995454555,-109.79504098181808,220,True,pefo,16
25,26,25,35.06664702380955,-109.7972104047618,126,True,pefo,20
28,29,28,34.89279438040346,-109.79432616138315,347,True,pefo,9
29,30,29,34.9750443519737,-109.7937851003291,608,True,pefo,5
30,31,30,34.86480613776738,-109.79035494061779,1684,True,pefo,2
33,34,33,35.08325281522751,-109.78739736490279,1077,True,pefo,4
36,37,36,34.90519291366911,-109.78670983453249,139,True,pefo,19
38,39,38,35.06585983898304,-109.78178097457628,354,True,pefo,8
39,40,39,35.0772573115578,-109.78236544723607,199,True,pefo,18
40,41,40,35.07215062222226,-109.78014959259266,270,True,pefo,14
41,42,41,34.94495426900581,-109.77621613450273,342,True,pefo,10
43,44,43,34.93842563461519,-109.75815768910242,1248,True,pefo,3
44,45,44,34.93323026760564,-109.75541471830992,284,True,pefo,13
