,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,36.49166047924541,-121.20930645282992,265,True,pinn,4
1,1,1,36.48586093048129,-121.2062387967912,187,True,pinn,7
2,2,2,36.4952819872611,-121.20513087261152,157,True,pinn,8
3,3,3,36.49945377391303,-121.20166653043484,115,True,pinn,11
4,4,4,36.48136973015873,-121.19924952380948,63,True,pinn,14
5,5,5,36.48557676884423,-121.19820823115579,199,True,pinn,6
6,6,6,36.48343072222221,-121.19789577777776,54,True,pinn,16
7,7,7,36.489820913907295,-121.1970059668874,151,True,pinn,9
8,8,8,36.480716588737,-121.193588411263,586,True,pinn,3
9,9,9,36.485340202898534,-121.19260663768118,69,True,pinn,13
10,10,10,36.47357784866132,-121.18697455762523,859,True,pinn,2
11,11,11,36.47665050457066,-121.18587562705896,1094,True,pinn,1
12,12,12,36.47845655263157,-121.1839134473684,76,True,pinn,12
13,13,13,36.481175276699084,-121.18149171359248,206,True,pinn,5
14,14,14,36.48622799999999,-121.18029300000008,54,True,pinn,17
15,15,15,36.49354300000003,-121.17221100000005,60,True,pinn,15
16,16,16,36.49261108527131,-121.14715233333301,129,True,pinn,10
