,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,41.70648656701031,-124.14378022680424,97,True,redw,18
1,1,1,41.81255816568049,-124.10795001775118,338,True,redw,7
2,2,2,41.59895379054058,-124.10093482837863,740,True,redw,4
3,3,3,41.268357576719524,-124.09764118518503,189,True,redw,11
4,4,4,41.285368263665475,-124.09193491961425,311,True,redw,8
5,5,5,41.79124151855204,-124.08350201990959,1105,True,redw,1
6,6,6,41.554370897637796,-124.08639914173217,127,True,redw,14
7,7,7,41.80690814583328,-124.08387586111137,144,True,redw,13
8,8,8,41.53447662999998,-124.0783715500001,100,True,redw,16
9,9,9,41.510540066666636,-124.07968653939395,165,True,redw,12
10,10,10,41.38411149218745,-124.07031160156272,256,True,redw,10
11,11,11,41.402160503472274,-124.06314369907476,864,True,redw,2
12,12,12,41.266838,-124.0665449999998,98,True,redw,17
13,13,13,41.32203441509428,-124.04291854716988,265,True,redw,9
14,14,14,41.36119645353165,-124.02545580297456,538,True,redw,6
15,15,15,41.305294128498694,-124.01987005725204,786,True,redw,3
16,16,16,41.38743521621622,-124.01793002702705,111,True,redw,15
17,17,17,41.37385099096386,-124.01347510542097,664,True,redw,5
