,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
38,39,38,40.42101234987598,-105.81062690322608,403,True,romo,18
45,46,45,40.43270713145546,-105.76833709389696,426,True,romo,17
50,51,50,40.42325071156453,-105.75241799183625,735,True,romo,11
51,52,51,40.441954643406426,-105.75359171023139,1691,True,romo,3
53,54,53,40.44746927232153,-105.75338091964356,672,True,romo,13
58,59,58,40.412570397058765,-105.7302113568111,1292,True,romo,5
66,67,66,40.395964049920806,-105.71136328526156,1262,True,romo,6
105,106,105,40.30992725978742,-105.65030298300496,6590,True,romo,1
106,107,106,40.400732346820874,-105.66402583044253,1038,True,romo,8
118,119,118,40.29329284227127,-105.65559811041018,317,True,romo,20
140,141,140,40.41072249744114,-105.63487863357308,977,True,romo,9
146,147,146,40.38806483120002,-105.63178280159994,1250,True,romo,7
156,157,156,40.40444469976351,-105.62210078723409,846,True,romo,10
160,161,160,40.35356732737006,-105.61674462075213,559,True,romo,15
166,167,166,40.25492875563246,-105.61579584402054,577,True,romo,14
175,176,175,40.32057484961824,-105.6052477389323,1310,True,romo,4
179,180,179,40.35827922907322,-105.59235708819072,2676,True,romo,2
188,189,188,40.25991197478991,-105.60131720168077,357,True,romo,19
235,236,235,40.36657855531919,-105.56157789574446,470,True,romo,16
244,245,244,40.30703646833596,-105.5387560073636,679,True,romo,12
