,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,32.272545393162375,-111.2176913675214,117,True,sagu,7
14,15,14,32.261234792517,-111.21017259183681,294,True,sagu,4
18,19,18,32.271877175,-111.21071542500002,40,True,sagu,17
21,22,21,32.291118679487134,-111.20853531730762,312,True,sagu,3
28,29,28,32.27731366822423,-111.19988378971982,214,True,sagu,6
34,35,34,32.254305293929754,-111.19738958466466,313,True,sagu,2
70,71,70,32.285518543478254,-111.16986652173914,46,True,sagu,14
77,78,77,32.248793484848484,-111.16710721212122,33,True,sagu,20
86,87,86,32.255726736842114,-111.15895792712553,247,True,sagu,5
103,104,103,32.27333887037038,-111.1470839259259,54,True,sagu,12
124,125,124,32.18024570710076,-110.73597362130148,338,True,sagu,1
126,127,126,32.19847324719099,-110.73446904494371,89,True,sagu,8
130,131,130,32.200837666666665,-110.73259900000004,36,True,sagu,19
134,135,134,32.18985826829268,-110.73141621951223,41,True,sagu,15
141,142,141,32.19096795000001,-110.73035977499997,40,True,sagu,16
157,158,157,32.20357217105262,-110.72496477631586,76,True,sagu,10
159,160,159,32.21174238888888,-110.72454680555558,36,True,sagu,18
164,165,164,32.16538605084746,-110.7235200847458,59,True,sagu,11
176,177,176,32.17440934177216,-110.7177906202532,79,True,sagu,9
220,221,220,32.234249347826086,-110.68509149999998,46,True,sagu,13
