,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,36.48690454761893,-118.8368978306884,378,True,sequ,8
1,1,1,36.501709025641,-118.81235762179494,156,True,sequ,14
2,2,2,36.61456387567552,-118.80441013513466,185,True,sequ,11
3,3,3,36.51869674842762,-118.8003783773586,159,True,sequ,13
4,4,4,36.53761427407406,-118.78211940370369,270,True,sequ,10
5,5,5,36.56569098075279,-118.77091279213029,2338,True,sequ,3
6,6,6,36.52098918181819,-118.77124525219921,341,True,sequ,9
7,7,7,36.54691894502478,-118.76540816217718,1819,True,sequ,4
8,8,8,36.608891778613724,-118.75231614703306,1197,True,sequ,5
9,9,9,36.58080839959633,-118.75107590783686,2973,True,sequ,2
10,10,10,36.55633415409837,-118.74646755737693,610,True,sequ,7
11,11,11,36.604747555555726,-118.72829920158718,630,True,sequ,6
12,12,12,36.611859027027045,-118.69573082432433,148,True,sequ,16
13,13,13,36.58716900000009,-118.66283599999979,173,True,sequ,12
14,14,14,36.694386322368445,-118.37351751973677,152,True,sequ,15
15,15,15,36.57272864923681,-118.29447717382779,3538,True,sequ,1
