,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,38.4502841071429,-78.46562736224482,196,True,shen,12
1,1,1,38.52125933065036,-78.43190317894737,3230,True,shen,1
2,2,2,38.555134779359456,-78.3958927508896,281,True,shen,9
3,3,3,38.559160848765465,-78.38474095679032,324,True,shen,7
4,4,4,38.597010589157506,-78.37327815332567,2361,True,shen,2
5,5,5,38.55468065642993,-78.35672433589234,521,True,shen,6
6,6,6,38.62568258724833,-78.34054078859043,298,True,shen,8
7,7,7,38.652902988670625,-78.31506074546824,1324,True,shen,3
8,8,8,38.62269591891891,-78.32283362702711,185,True,shen,14
9,9,9,38.55209616607156,-78.3105686589287,1120,True,shen,4
10,10,10,38.74813476470587,-78.29397830882354,204,True,shen,11
11,11,11,38.7642885265957,-78.22738744680858,188,True,shen,13
12,12,12,38.86714092325582,-78.205284398837,860,True,shen,5
13,13,13,38.8904160742857,-78.20285585142841,175,True,shen,16
14,14,14,38.83616261956525,-78.20371581521718,184,True,shen,15
15,15,15,38.9047224,-78.1956161560977,205,True,shen,10
