,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,46.99997662790698,-103.58449127906975,43,True,thro,17
1,1,1,46.94836431182794,-103.53146332258069,93,True,thro,7
2,2,2,46.93497897619047,-103.5310615,42,True,thro,18
3,3,3,46.915749903409115,-103.52585747727275,176,True,thro,3
4,4,4,46.93222816091955,-103.51633203448279,87,True,thro,8
5,5,5,46.977367056338046,-103.4920668309859,71,True,thro,11
6,6,6,46.98910172925764,-103.48742050218345,229,True,thro,2
7,7,7,46.93145082926831,-103.4854103170732,41,True,thro,20
8,8,8,46.9835092086331,-103.48026409352521,139,True,thro,4
9,9,9,46.9207976,-103.46487337777778,45,True,thro,15
10,10,10,46.92197268085106,-103.45220002127658,47,True,thro,14
11,11,11,47.603094339285704,-103.44198428571431,56,True,thro,12
12,12,12,46.93347915909092,-103.41790847727272,44,True,thro,16
13,13,13,46.964649682926826,-103.40590297560976,41,True,thro,19
14,14,14,46.95859630864199,-103.40320870370371,81,True,thro,10
15,15,15,46.92589915957444,-103.38896847872348,94,True,thro,6
16,16,16,46.934091816326536,-103.38901014285713,49,True,thro,13
17,17,17,46.895488724452484,-103.38204472262771,548,True,thro,1
18,18,18,47.60931807936507,-103.37776816666671,126,True,thro,5
19,19,19,47.596011821428604,-103.33146475000005,84,True,thro,9
