,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,18.338894038461536,-64.79374079230772,130,True,viis,13
1,1,1,18.34055951851851,-64.7913701957671,189,True,viis,11
2,2,2,18.343136955390232,-64.78622500743514,538,True,viis,4
3,3,3,18.346200267015696,-64.78044758638742,191,True,viis,10
4,4,4,18.35148529050281,-64.77747597765367,179,True,viis,12
5,5,5,18.34808581967211,-64.77699695081965,244,True,viis,9
6,6,6,18.352732528634395,-64.76926204552153,1362,True,viis,1
7,7,7,18.353721492187496,-64.76442539843754,128,True,viis,14
8,8,8,18.35430611842103,-64.75504199780693,456,True,viis,5
9,9,9,18.35951817289306,-64.74482856211954,1151,True,viis,2
10,10,10,18.36312399594594,-64.73048138243229,740,True,viis,3
11,11,11,18.32013570085473,-64.72662315954426,351,True,viis,6
12,12,12,18.366847798319327,-64.72279746218483,119,True,viis,15
13,13,13,18.30840284713373,-64.70591380891757,314,True,viis,8
14,14,14,18.300027892063515,-64.70280633015865,315,True,viis,7
