,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,43.536907312500006,-103.49679212500001,16,True,wica,14
1,1,1,43.56739549999998,-103.49615104545451,22,True,wica,7
2,2,2,43.5272931111111,-103.49529572222221,18,True,wica,12
3,3,3,43.61236242857143,-103.49260707142855,14,True,wica,17
4,4,4,43.62153585714285,-103.4919395238095,21,True,wica,8
5,5,5,43.62488894117647,-103.4903675294118,34,True,wica,4
6,6,6,43.574990153846166,-103.49029761538462,13,True,wica,19
7,7,7,43.522771823529425,-103.48922111764702,17,True,wica,13
8,8,8,43.59566285714285,-103.48925614285716,21,True,wica,9
9,9,9,43.573620500000004,-103.48756732352942,34,True,wica,5
10,10,10,43.62285705000002,-103.48599149999995,20,True,wica,10
11,11,11,43.585434909090914,-103.48552109090907,11,True,wica,20
12,12,12,43.56950885714284,-103.48294730612238,49,True,wica,2
13,13,13,43.581158615384616,-103.4850903846154,13,True,wica,18
14,14,14,43.62496035135134,-103.48245597297297,37,True,wica,3
15,15,15,43.5563723563379,-103.4780604267597,710,True,wica,1
16,16,16,43.52140514285714,-103.47768192857143,14,True,wica,16
17,17,17,43.581367,-103.47426213043481,23,True,wica,6
18,18,18,43.63972363157895,-103.467673,19,True,wica,11
19,19,19,43.601491,-103.40588299999996,15,True,wica,15
