,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,62.078371499999975,-145.42884393209886,162,True,wrst,5
1,1,1,61.4924877715738,-144.0719030203049,197,True,wrst,3
2,2,2,62.7157898,-144.16350764999999,20,True,wrst,10
3,3,3,62.159875562500005,-143.834700375,32,True,wrst,8
4,4,4,60.93429970625001,-143.26926907500007,160,True,wrst,6
5,5,5,61.49635872594748,-142.91547751749334,1372,True,wrst,1
6,6,6,60.56332857894736,-142.54472842105264,19,True,wrst,11
7,7,7,61.129001999999964,-142.41566500000002,29,True,wrst,9
8,8,8,61.85242739583331,-141.71100545833335,96,True,wrst,7
9,9,9,60.12483768926552,-141.3990348474576,177,True,wrst,4
10,10,10,59.99156034770112,-139.73654640804594,348,True,wrst,2
