,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,44.657279332797415,-111.09821819774929,622,True,yell,16
21,22,21,44.484790752242965,-110.85443763768085,1449,True,yell,10
22,23,22,44.46214085375515,-110.85421642391259,1012,True,yell,14
24,25,24,44.46297226951792,-110.8319873504048,10311,True,yell,1
26,27,26,44.52544821407273,-110.83713711440754,5358,True,yell,4
30,31,30,44.55200297878913,-110.80767205553339,2593,True,yell,7
37,38,37,44.536915073089695,-110.80103226578063,602,True,yell,17
40,41,40,44.65348839864869,-110.77166150506778,592,True,yell,18
45,46,45,44.693254517305654,-110.73848760149701,1069,True,yell,13
64,65,64,44.97060115443798,-110.70537489776876,7796,True,yell,2
67,68,67,45.020317206511606,-110.70165671906967,1075,True,yell,12
68,69,68,44.725831295969314,-110.70379875234639,3622,True,yell,5
93,94,93,44.42794765868985,-110.58845784760602,794,True,yell,15
98,99,98,44.417070792592746,-110.5716687188894,2700,True,yell,6
107,108,107,44.57430013656404,-110.51889729295182,454,True,yell,20
110,111,110,44.71916160845338,-110.48863998705154,5560,True,yell,3
122,123,122,44.64910813688534,-110.45844974426198,1220,True,yell,11
142,143,142,44.62379729529189,-110.43310889457533,1954,True,yell,8
147,148,147,44.903764494694954,-110.39748606432356,1508,True,yell,9
150,151,150,44.5512592780172,-110.39842889008645,464,True,yell,19
