,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,38.0643830641399,-119.86055133527674,343,True,yose,6
1,1,1,38.089915999999924,-119.83740199999971,122,True,yose,13
2,2,2,37.74992930193486,-119.5723695611788,61255,True,yose,1
3,3,3,37.95175641650848,-119.7843747903224,1054,True,yose,4
4,4,4,38.0142773043478,-119.7237437934783,184,True,yose,9
5,5,5,37.546969018987156,-119.64383123236897,1106,True,yose,3
6,6,6,37.850909532846714,-119.65788284671537,137,True,yose,12
7,7,7,37.50568919693626,-119.60510875565251,1371,True,yose,2
8,8,8,37.845805045714265,-119.60305371999992,175,True,yose,11
9,9,9,37.86560615510221,-119.53775861632712,490,True,yose,5
10,10,10,38.09243168539329,-119.38639977528094,178,True,yose,10
11,11,11,37.76988544747083,-119.2571479066148,257,True,yose,8
12,12,12,37.841455272435915,-119.24002777564098,312,True,yose,7
