,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,1,0,37.447183818574544,-113.1954251166311,1852,True,zion,2
4,5,4,37.415313126436764,-113.1592531781609,174,True,zion,7
9,10,9,37.34209269620252,-113.106258329114,79,True,zion,11
11,12,11,37.30796034897925,-113.06241124013505,1470,True,zion,3
17,18,17,37.341595608695684,-113.07587797101438,69,True,zion,12
20,21,20,37.28977741379315,-113.04888620114909,174,True,zion,8
21,22,21,37.23893799999998,-113.04704099999996,26,True,zion,17
24,25,24,37.30535982758625,-113.03583736781641,174,True,zion,9
25,26,25,37.38262725882351,-113.02652947058827,85,True,zion,10
29,30,29,37.29824310215644,-113.02595556867271,881,True,zion,4
30,31,30,37.30470037931036,-113.02352796551725,29,True,zion,15
31,32,31,37.30928700000001,-113.01704399999998,22,True,zion,19
36,37,36,37.32275994796756,-113.00465819999951,615,True,zion,5
43,44,43,37.248639339738155,-112.94956544119506,50624,True,zion,1
45,46,45,37.32074860869564,-112.98939878260867,23,True,zion,18
46,47,46,37.28614829186612,-112.98389005741663,209,True,zion,6
53,54,53,37.24069799999998,-112.95222,26,True,zion,16
54,55,54,37.36493463636365,-112.93912483333335,66,True,zion,13
59,60,59,37.23652602380955,-112.92487373809524,42,True,zion,14
62,63,62,37.36977600000001,-112.91317819047615,21,True,zion,20
