,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
0,0,50016779728,25895994@N04,5139762e63,65535,66,Capitol Reef,1,0,0,1592428728,Michael Renfrow,3672,4,15,,38.29402,-111.261302,16,0,,5539453.0,1,0,0,0,,,,True
1,1,50017561407,25895994@N04,5c892d61ab,65535,66,Capitol Reef,1,0,0,1592428727,Michael Renfrow,3672,4,11,,38.29402,-111.261302,16,0,,5539453.0,1,0,0,0,,,,True
2,2,50014180411,102096240@N03,4c0965a1c7,65535,66,Labor,1,0,0,1592345561,krelovichm,5462,6,129,,38.278463,-111.24954199999999,16,0,,5539453.0,1,0,0,0,cf39f70d27,jpg,,True
7,7,50002552722,73680237@N02,01198a3168,65535,66,How high???03.30.IMGP9174,1,0,0,1592071225,candysantacruz,7075,8,29,capitolreefnationalpark,38.209354,-111.20039399999999,15,0,,5544197.0,1,0,0,0,1ba5db7047,jpg,,True
12,12,49922151758,138752302@N05,ce4c387cf8,65535,66,*Last evening sun over the Upper Cathedral Valley*,1,0,0,1590150771,Albert Wirtz @ Landscape and Nature Photography,5758,6,4372,albertwirtz capitolreefnp nationalpark cathedralvalley uppercathedralvalley landscape landschaft paysage paisaje paesaggio campo campgane campagna nature natur natura naturaleza monuments rock fels twilight goldenhour goldenestunde nikon d700 fineart landscapefineart fineartphotography usasouthwest utah hanksville torrey southernutah southwest southwestusa cathedralmountain uppercathedralvalleyoverlook breathtakinglandscapes,38.477849,-111.35834399999999,15,0,,7175795.0,1,0,0,0,,,,True
13,13,49918844336,138752302@N05,6a8350b306,65535,66,*Strike Valley Overlook*,1,0,0,1590049866,Albert Wirtz @ Landscape and Nature Photography,5758,6,3824,albertwirtz usa utah america amerika strikevalleyoverlook notombullfrogroad waterpocketfold capitolreefnp natonalpark exploring entdecken burrtrail dirtroad landscape landschaft nature natur natura paesaggio campo campagne campagna naturaleza fineart landscapefineart paisaje southwestusa unitedstates vereinigtestaaten nikon d200 lakepowell uppermuleytwistcanyon canyon notomroad grandstaircase breathtakinglandscapes,37.882789,-111.042101,15,0,,5538797.0,1,0,0,0,,,,True
16,16,28949035401,10725258@N00,3b8ed05ca1,7631,8,the scream,1,0,0,1589565600,rovingmagpie,7349,8,490,utah capitolreefnationalpark capitolreef fryingpantrail thescream pareidolia anguish face ctg2016 summer2016,38.270768,-111.23856699999999,16,0,sSD9QkJQUL9aW2vhaA,12590288.0,1,0,0,0,,,,True
19,19,28500564690,10725258@N00,762d497e67,8658,9,into the earth,1,0,0,1589498100,rovingmagpie,7349,8,309,utah capitolreefnationalpark capitolreef grandwash pinkhat canyon kani ctg2016 summer2016,38.273412,-111.20352700000001,15,0,Co_gXnFTUb6WVVw4,2347603.0,1,0,0,0,,,,True
42,42,49886906932,141005548@N04,95e3481209,65535,66,1 (5032),1,0,0,1589290012,SelinaAnne,4549,5,2,capitolreef utah desert rock nps nationalpark usa,38.450463,-111.192369,15,0,,5539453.0,1,0,0,0,f2d6a589f0,jpg,,True
47,47,49846195038,20471150@N08,c5d7962c2c,65535,66,Million Dollar Road - Rt 12 Utah,1,0,0,1588445914,phastflyer,5327,6,2,torrey utah unitedstatesofamerica,38.312622,-111.301075,16,0,,5539453.0,1,0,0,0,f6531c8e76,jpg,,True
48,48,49847030527,20471150@N08,fd8486771e,65535,66,Million Dollar Road - Rt 12 Utah,1,0,0,1588445914,phastflyer,5327,6,2,torrey utah unitedstatesofamerica,38.312622,-111.301078,16,0,,5539453.0,1,0,0,0,b3e3d15edd,jpg,,True
49,49,49847029282,20471150@N08,e5df666fd9,65535,66,Capitol Reef - Fruita Orchard,1,0,0,1588445915,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.286227000000004,-111.246498,16,0,,5539453.0,1,0,0,0,76ec32197c,jpg,,True
50,50,49847027357,20471150@N08,de5ca944fd,65535,66,Capitol Reef -,1,0,0,1588445916,phastflyer,5327,6,5,teasdale utah unitedstatesofamerica,38.266819,-111.244978,16,0,,5539453.0,1,0,0,0,c4bfb8e9e7,jpg,,True
51,51,49846723786,20471150@N08,e1c6fd497b,65535,66,Capitol Reef -,1,0,0,1588445917,phastflyer,5327,6,5,teasdale utah unitedstatesofamerica,38.266822,-111.24498100000001,16,0,,5539453.0,1,0,0,0,2b3df7d4d8,jpg,,True
52,52,49847023662,20471150@N08,26d0bda55e,65535,66,Capitol Reef -,1,0,0,1588445917,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.258179999999996,-111.23156999999999,16,0,,5539453.0,1,0,0,0,f9f76c3ceb,jpg,,True
53,53,49846185138,20471150@N08,8c8a88eebb,65535,66,Capitol Reef - Uranium Mines,1,0,0,1588445918,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.258188,-111.231573,16,0,,5539453.0,1,0,0,0,606342f4e5,jpg,,True
54,54,49846718926,20471150@N08,8f3dc7c081,65535,66,Capitol Reef -,1,0,0,1588445918,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.261675,-111.218814,16,0,,5539453.0,1,0,0,0,49947ea0c1,jpg,,True
55,55,49846717656,20471150@N08,dc0d4571b9,65535,66,Capitol Reef -,1,0,0,1588445919,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.261655,-111.218823,16,0,,5539453.0,1,0,0,0,e96796932e,jpg,,True
56,56,49846180243,20471150@N08,9f7224527a,65535,66,Capitol Reef -,1,0,0,1588445920,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.26363,-111.215648,16,0,,5539453.0,1,0,0,0,fe52b98fe9,jpg,,True
57,57,49846178093,20471150@N08,3bdd6c7d6d,65535,66,Capitol Reef -,1,0,0,1588445921,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.263638,-111.215625,16,0,,5539453.0,1,0,0,0,4c4cfdbb33,jpg,,True
58,58,49847012487,20471150@N08,73a00f7913,65535,66,Capitol Reef -,1,0,0,1588445921,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.263638,-111.215623,16,0,,5539453.0,1,0,0,0,3eef97559c,jpg,,True
59,59,49847010487,20471150@N08,faface1da0,65535,66,Capitol Reef -,1,0,0,1588445922,phastflyer,5327,6,5,teasdale utah unitedstatesofamerica,38.248160999999996,-111.22907,16,0,,5539453.0,1,0,0,0,912a357fb0,jpg,,True
60,60,49846172188,20471150@N08,804bc63f33,65535,66,Capitol Reef -,1,0,0,1588445923,phastflyer,5327,6,5,teasdale utah unitedstatesofamerica,38.24818,-111.22911200000001,16,0,,5539453.0,1,0,0,0,e5346a0a2a,jpg,,True
61,61,49847007002,20471150@N08,ce62d15231,65535,66,Capitol Reef -,1,0,0,1588445923,phastflyer,5327,6,4,teasdale utah unitedstatesofamerica,38.224408000000004,-111.22041399999999,16,0,,5539453.0,1,0,0,0,d0f83fea30,jpg,,True
62,62,49846169458,20471150@N08,11c484e5be,65535,66,Capitol Reef -,1,0,0,1588445924,phastflyer,5327,6,4,teasdale utah unitedstatesofamerica,38.216819,-111.21366200000001,16,0,,5539453.0,1,0,0,0,b34874eba1,jpg,,True
63,63,49846703241,20471150@N08,1a3b800039,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445924,phastflyer,5327,6,4,torrey utah unitedstatesofamerica,38.208686,-111.19408700000001,16,0,,5544197.0,1,0,0,0,2b61918d41,jpg,,True
64,64,49846166898,20471150@N08,eff3bd74f3,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445925,phastflyer,5327,6,4,torrey utah unitedstatesofamerica,38.208686,-111.194078,16,0,,5544197.0,1,0,0,0,fd0bb8739b,jpg,,True
65,65,49846699411,20471150@N08,ee269df614,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445925,phastflyer,5327,6,4,torrey utah unitedstatesofamerica,38.208622,-111.19408899999999,16,0,,5544197.0,1,0,0,0,fe116146ed,jpg,,True
66,66,49846697951,20471150@N08,1883f91f22,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445926,phastflyer,5327,6,4,torrey utah unitedstatesofamerica,38.208163,-111.19412,16,0,,5544197.0,1,0,0,0,72637710f6,jpg,,True
67,67,49846162013,20471150@N08,1b170f57a4,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445927,phastflyer,5327,6,4,teasdale utah unitedstatesofamerica,38.210008,-111.204462,16,0,,5544197.0,1,0,0,0,b6aeec7cf8,jpg,,True
68,68,49846694816,20471150@N08,b5b58748b8,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445927,phastflyer,5327,6,5,teasdale utah unitedstatesofamerica,38.210013000000004,-111.20446399999999,16,0,,5544197.0,1,0,0,0,6e83996c8a,jpg,,True
69,69,49846693316,20471150@N08,e8652517e6,65535,66,Capitol Reef - Capitol Gorge,1,0,0,1588445928,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.211738000000004,-111.206345,16,0,,5544197.0,1,0,0,0,26fccce84c,jpg,,True
70,70,49846157498,20471150@N08,c3e21da588,65535,66,Capitol Reef -,1,0,0,1588445929,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.235469,-111.223495,16,0,,5539453.0,1,0,0,0,16c939abfa,jpg,,True
71,71,49846155818,20471150@N08,eda7b19cb7,65535,66,Capitol Reef -,1,0,0,1588445930,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.235427,-111.22351200000001,16,0,,5539453.0,1,0,0,0,461f6fe27d,jpg,,True
72,72,49846153768,20471150@N08,37a7318028,65535,66,Capitol Reef -,1,0,0,1588445931,phastflyer,5327,6,5,torrey utah unitedstatesofamerica,38.254172,-111.231384,16,0,,5539453.0,1,0,0,0,93f5d1117f,jpg,,True
