,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
1,1,50035390076,89018228@N08,bf83ec758c,65535,66,Ventura Harbor Breakwater,1,0,0,1592870113,toleran76,7815,8,21,california ventura venturaharbor southerncalifornia unitedstatesofamerica breakwater,d402e7d22a,jpg,34.246783,-119.265831,16,0,,5382673.0,1,0,0,0,,True
62,62,49957304127,24842953@N04,23f43b2272,65535,66,Arch Rock - Channel Islands national park,1,0,0,1590953738,Prairie Star,2412,3,129,california pacificocean nationalparkservice ocean sky usa water outside nationalpark rocks unitedstates outdoor sunny bluesky westcoast channelislandsnationalpark archrock westernstates eastanacapaisland,,,34.017136,-119.356852,16,0,,5550356.0,1,0,0,0,,True
77,77,49819895051,92601235@N00,8364e06914,0,0,Island fox chasing a rodent,1,0,0,1587872290,danlmarmot,1174,2,258,,ebc64d4aa8,mp4,34.048527,-119.588649,16,0,,5347728.0,1,0,0,0,,True
95,95,49676130618,8735619@N06,696952982c,65535,66,nudibranch1Mar14-20,1,0,0,1584637272,divindk,2807,3,242,anacapa anacapaisland channelislands channelislandsnationalpark hermissendaopalescens sanmiguelisland santabarbara santacruzisland santarosaisland underwater ventura aeolid color diverdoug marine nudibranch ocean opalescentnudibranch reef sea seaslug underwaterphotography 1hoyadiopter,186880eb48,jpg,34.015591,-119.421692,16,0,,5550356.0,1,0,0,0,,True
96,96,49676661701,8735619@N06,27aa3c84a2,65535,66,nudibranch2Mar14-20,1,0,0,1584637272,divindk,2807,3,265,anacapa anacapaisland channelislands channelislandsnationalpark flabellinatrilineata sanmiguelisland santabarbara santacruzisland santarosaisland underwater ventura aeolid color diverdoug marine nudibranch ocean orienthellatrilineata reef sea seaslug threelinedaeolidnudibranch underwaterphotography 1hoyadiopter,d0356d6c93,jpg,34.015591,-119.421692,16,0,,5550356.0,1,0,0,0,,True
97,97,49676128638,8735619@N06,5e7faec009,65535,66,islandkelpfishMar14-20,1,0,0,1584637273,divindk,2807,3,227,anacapa alloclinusholderi santabarbara underwater ventura channelislands santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland ocean sea color marine reef underwaterphotography diverdoug islandkelpfish hidinginahole 1hoyadiopter,0a0d0a2350,jpg,34.016036,-119.421517,16,0,,5550356.0,1,0,0,0,,True
98,98,49676659646,8735619@N06,fe8718d497,65535,66,JuvRockfish2Mar14-20,1,0,0,1584637274,divindk,2807,3,239,anacapa santabarbara marine underwater ventura channelislands santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland diverdoug ocean sea reef underwaterphotography color rockfish vermilionrockfish sebastesminiatus juvenilerockfish 1hoyadiopter juvenilevermillionrockfish,259615c435,jpg,34.014886,-119.43760900000001,16,0,,5357557.0,1,0,0,0,,True
99,99,49676127153,8735619@N06,36954d2548,65535,66,JuvRockfish3Mar14-20,1,0,0,1584637275,divindk,2807,3,281,santabarbara marine underwater ventura channelislands anacapa santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland diverdoug ocean sea reef underwaterphotography color rockfish vermilionrockfish sebastesminiatus juvenilerockfish 1hoyadiopter juvenilevermillionrockfish,08c0d2259d,jpg,34.014886,-119.43760900000001,16,0,,5357557.0,1,0,0,0,,True
100,100,49676126668,8735619@N06,fb2d63e8ea,65535,66,islandkelpfish2Mar14-20,1,0,0,1584637276,divindk,2807,3,287,color santabarbara underwater ventura channelislands anacapa santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland diverdoug ocean sea marine reef underwaterphotography hidinginashell 1hoyadiopter,a373f3f8fc,jpg,34.014886,-119.43760900000001,16,0,,5357557.0,1,0,0,0,,True
101,101,49676658296,8735619@N06,945f0a7302,65535,66,islandkelpfish3Mar14-20,1,0,0,1584637276,divindk,2807,3,372,anacapa santabarbara marine underwater ventura channelislands santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland diverdoug ocean sea reef underwaterphotography 1hoyadiopter,b6a5f1f9d7,jpg,34.014886,-119.43760900000001,16,0,,5357557.0,1,0,0,0,,True
102,102,49676125828,8735619@N06,3c0affd11d,65535,66,JuvRockfish4Mar14-20,1,0,0,1584637277,divindk,2807,3,419,santabarbara marine underwater ventura channelislands anacapa santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland diverdoug ocean sea reef underwaterphotography color rockfish vermilionrockfish sebastesminiatus juvenilerockfish 1hoyadiopter juvenilevermillionrockfish,95c93cf421,jpg,34.014886,-119.43760900000001,16,0,,5357557.0,1,0,0,0,,True
103,103,49676942222,8735619@N06,73c04f3378,65535,66,JuvRockfish5Mar14-20,1,0,0,1584637277,divindk,2807,3,540,santabarbara marine underwater ventura channelislands anacapa santacruzisland channelislandsnationalpark anacapaisland santarosaisland sanmiguelisland diverdoug ocean sea reef underwaterphotography color rockfish vermilionrockfish sebastesminiatus juvenilerockfish 1hoyadiopter juvenilevermillionrockfish,dc09f5de18,jpg,34.014886,-119.43760900000001,16,0,,5357557.0,1,0,0,0,,True
105,105,49674057303,8735619@N06,c5e4633f87,65535,66,bbgobyMar13-20,1,0,0,1584579161,divindk,2807,3,322,anacapa anacapaisland californiaunderwater channelislands channelislandsnationalpark lythrypnusdalli sanmiguelisland santabarbara santacruzisland santarosaisland underwater ventura bluebandedgoby catalinagoby color diverdoug goby marine ocean reef sea underwaterphotography,73a12a5864,jpg,34.017027,-119.36842299999999,16,0,,5550356.0,1,0,0,0,,True
106,106,49674597126,8735619@N06,67a35c81d9,65535,66,cowrieMar13-20,1,0,0,1584579161,divindk,2807,3,298,anacapa anacapaisland channelislands channelislandsnationalpark cowrie sanmiguelisland santabarbara santacruzisland santarosaisland triviapediculus underwater ventura coffeebeancowrie coffeebeantrivia diverdoug eye marine ocean reef sea underwaterphotography,778cddcc15,jpg,34.017027,-119.36842299999999,16,0,,5550356.0,1,0,0,0,,True
107,107,49674596646,8735619@N06,e551ab9f3c,65535,66,cowrie2Mar13-20,1,0,0,1584579162,divindk,2807,3,373,anacapa anacapaisland channelislands channelislandsnationalpark cowrie sanmiguelisland santabarbara santacruzisland santarosaisland triviapediculus underwater ventura coffeebeancowrie coffeebeantrivia diverdoug eye marine ocean reef sea underwaterphotography,989836a0fe,jpg,34.017027,-119.36842299999999,16,0,,5550356.0,1,0,0,0,,True
108,108,49674595966,8735619@N06,56dd002b3b,65535,66,nudibranchMar13-20,1,0,0,1584579163,divindk,2807,3,2771,anacapa anacapaisland channelislands channelislandsnationalpark flabellinatrilineata sanmiguelisland santabarbara santacruzisland santarosaisland underwater ventura aeolid color diverdoug kelpmacro marine nudibranch ocean orienthellatrilineata reef sea seaslug threelinedaeolidnudibranch underwaterphotography,9b034cfd84,jpg,34.017027,-119.36842299999999,16,0,,5550356.0,1,0,0,0,,True
109,109,49674595516,8735619@N06,44fa3ec042,65535,66,nudibranch2Mar13-20,1,0,0,1584579164,divindk,2807,3,575,anacapa anacapaisland channelislands channelislandsnationalpark limaciamcdonaldi mcdonaldsnudibranch sanmiguelisland santabarbara santacruzisland santarosaisland underwater ventura aeolid color diverdoug marine nudibranch ocean reef sea seaslug underwaterphotography,b177df99d2,jpg,34.011616,-119.38458899999999,16,0,,5550356.0,1,0,0,0,,True
112,112,49641901128,8735619@N06,82a7d59d0b,65535,66,abaloneMar6-20,1,0,0,1583812307,divindk,2807,3,3307,1hoyadiopter anacapa anacapaisland channelislands channelislandsnationalpark haliotiscorrugata sanmiguelisland santabarbara santacruzisland santarosaisland scientificname underwater ventura abalone diverdoug endangeredspecies eye eyes marine ocean pinkabalone reef sea underwaterphotography,fdd762270b,jpg,33.992788,-119.57231999999999,16,0,,5357557.0,1,0,0,0,,True
