,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
1,1,50030683377,134733670@N07,9d87b0125c,65535,66,Tulip Poplar Leaves,1,0,0,1592763555,Calvin Faunus,65535,66,14,,,,41.212887,-81.524046,16,0,,7239739.0,1,0,0,0,,True
2,2,50026763017,64476893@N00,1e5888de31,65535,66,IMG_4084,1,0,0,1592673938,FOREVERJEFF,5545,6,14,,6359d3914e,jpg,41.3665,-81.59666700000001,16,0,,5145530.0,1,0,0,0,,True
3,3,50025876737,134733670@N07,5a9409a568,65535,66,Cross Country Trail,1,0,0,1592655434,Calvin Faunus,65535,66,7,,,,41.209368,-81.517641,16,0,,7239739.0,1,0,0,0,,True
4,4,50022030238,134733670@N07,cb4fba77be,65535,66,Shagbark Hickory Leaves,1,0,0,1592573232,Calvin Faunus,65535,66,29,,,,41.212137,-81.522812,16,0,,7239739.0,1,0,0,0,,True
5,5,50021093596,14723335@N05,eb96df2157,65535,66,The Cuyahoga River and Brecksville-Northfield Bridge (Cuyahoga Valley National Park),1,0,0,1592529597,thor_mark ,5565,6,876,azimuth141 brecksvillenorthfieldbridge bridge camranger capturenx2edited cloudy colorefexpro concretebridge cuyahogariver cuyahogavalleynationalpark day6 deckarch imagecapturewithcamranger landscape lookingnorth lowerpeninsulaheartland midwestgreatlakesarea mostlycloudy nature nikond800e northamericaplains ohioanderiecanalpath ohiowabasheriearea outside overcast project365 river sr82 stateroute82 stationroadbridgearea travel trees triptogatewaymammothcuyahoganationalparks ohio unitedstates,,,41.319266,-81.587817,16,0,,5149717.0,1,0,0,0,,True
6,6,50018778213,134733670@N07,183bb5bfe5,65535,66,Salt Run Trail,1,0,0,1592488273,Calvin Faunus,65535,66,36,,,,41.222673,-81.543485,15,0,,5147913.0,1,0,0,0,,True
7,7,50012068208,134733670@N07,b44df42247,65535,66,Wild Multiflora Rose,1,0,0,1592314069,Calvin Faunus,65535,66,23,,,,41.209481,-81.52043,16,0,,7239739.0,1,0,0,0,,True
8,8,50004244933,134733670@N07,3579d498e0,65535,66,Kendall Lake Connector,1,0,0,1592135497,Calvin Faunus,65535,66,15,,,,41.219618,-81.513521,16,0,,5150029.0,1,0,0,0,,True
9,9,50003822142,14723335@N05,7e51d8d7ed,65535,66,Waters Flowing Over Brandywine Falls (Cuyahoga Valley National Park),1,0,0,1592102427,thor_mark ,5565,6,842,65 azimuth357 bedfordshale bereasandstone brandywinecreek brandywinefalls brandywinegorgetrail brandywinegorgetrailloop camranger capturenx2edited clevelandshale cloudy colorefexpro creek cuyahogavalleynationalpark day6 imagecapturewithcamranger landscape longexposure lookingnorth lookingthroughtrees lowerpeninsulaheartland midwestgreatlakesarea mostlycloudy nature nikond800e northamericaplains ohiowabasheriearea outside overcast project365 travel trees triptogatewaymammothcuyahoganationalparks waterfall waterfalls ohio unitedstates,,,41.276765999999995,-81.538484,16,0,,5148083.0,1,0,0,0,,True
11,11,49982227178,14723335@N05,5122b43450,65535,66,Cuyahoga Valley National Park...,1,0,0,1591580342,thor_mark ,5565,6,653,alongroadside azimuth270 capturenx2edited cloudy colorefexpro cuyahogavalleynationalpark day6 dxoperspective exhibits informationexhibits informationsigns landscape lookingwest lowerpeninsulaheartland midwestgreatlakesarea mostlycloudy nature nikond800e northamericaplains ohiowabasheriearea outside overcast parkentrance parkentrancesign parksigns project365 roadsidepulloff roadsidestop sign signs travel trees triptogatewaymammothcuyahoganationalparks whighlandrd ohio unitedstates,,,41.289333,-81.561717,16,0,,5159033.0,1,0,0,0,,True
13,13,49957249941,186321971@N05,e75fe93817,65535,66,Graffiti - CVNP,1,0,0,1590957550,jreese86,65535,66,100,cvnp graffiti cuyahogavalleynationalpark bridge peninsula ohio,a34d3c800b,jpg,41.256637,-81.552811,16,0,,5147903.0,1,0,0,0,,True
14,14,49957531542,186321971@N05,84342db0fd,65535,66,Graffiti - CVNP,1,0,0,1590957550,jreese86,65535,66,36,cvnp,54cbb6d465,jpg,41.256637,-81.552811,16,0,,5147903.0,1,0,0,0,,True
15,15,49956749003,186321971@N05,c4c4152bc0,65535,66,Graffiti - CVNP,1,0,0,1590957551,jreese86,65535,66,39,cvnp,c033b8ddaf,jpg,41.256637,-81.552811,16,0,,5147903.0,1,0,0,0,,True
16,16,49957245596,186321971@N05,d185a98d5a,65535,66,Graffiti - CVNP,1,0,0,1590957551,jreese86,65535,66,43,cvnp,6e5c1efdb4,jpg,41.256637,-81.552811,16,0,,5147903.0,1,0,0,0,,True
50,50,49939583093,14723335@N05,f3c802b77e,65535,66,Standing on the Station Road Bridge While Taking in a View of the Cuyahoga River (Cuyahoga Valley National Park),1,0,0,1590542744,thor_mark ,5565,6,1055,azimuth7 brecksvillenorthfieldbridge bridge camranger capturenx2edited cloudy colorefexpro concretebridge cuyahogariver cuyahogavalleynationalpark day6 deckarch imagecapturewithcamranger landscape lookingnorth lowerpeninsulaheartland midwestgreatlakesarea mostlycloudy nature nikond800e northamericaplains ohioanderiecanalpath ohiowabasheriearea outside overcast project365 river sr82 stateroute82 stationroadbridgearea travel trees triptogatewaymammothcuyahoganationalparks ohio unitedstates,,,41.319333,-81.58755,16,0,,5149717.0,1,0,0,0,,True
119,119,49920830473,14723335@N05,75aa89978c,65535,66,A Path for Trains to Follow Down the Cuyahoga Valley Scenic Railroad (Cuyahoga Valley National Park),1,0,0,1590110819,thor_mark ,5565,6,1009,azimuth181 capturenx2edited classiiirailroad cloudy colorefexpro cuyahogavalleynationalpark cuyahogavalleyscenicrailroad cuyahogavalleyscenicrailroadbrecksvillestation day6 grassyarea grassyfield grassymeadow landscape lookingsouth lowerpeninsulaheartland midwestgreatlakesarea mostlycloudy nature nikond800e northamericaplains ohiowabasheriearea outside overcast project365 railline railroad railroadtrack railroadtracks railwaytracks travel trees triptogatewaymammothcuyahoganationalparks ohio unitedstates,,,41.318533,-81.58798399999999,16,0,,5149717.0,1,0,0,0,,True
150,150,49902340908,108491399@N08,76b5af90a1,65535,66,One Odd Duck,1,0,0,1589667323,jwjordak,3933,4,617,passengertrain 2gs14b 1400 cvsr nrex genset tree clouds cuyahogavalleyscenic train brecksville ohio unitedstatesofamerica,4af9602bac,jpg,41.283127,-81.57055600000001,16,0,,5159033.0,1,0,0,0,,True
