,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
1,1,50031739481,126973368@N06,aabffbdeb8,65535,66,Summer Solstice 2020,1,0,0,1592788958,espeeus,65535,66,810,denalinationalparkandpreserv alaska unitedstatesofamerica,63.700025,-148.873962,16,0,,5868582.0,1,0,0,0,,,,True
3,3,50015284427,62634671@N08,d248b2e2c2,65535,66,"Denali National Park, Alaska, USA - 2002.",1,0,0,1592370142,John Mac 2011 UK,5071,6,4,2002 alaska denalinationalpark johnmacstravelphotography johnmacsusa usa usa2002 usa2002tour usa–2002,63.114627,-151.19278899999998,16,0,,5865820.0,1,0,0,0,d885426e3f,jpg,,True
7,7,49959622998,11968569@N06,a8478a72ba,65535,66,PLEASE SUPPORT OUR WALK FOR PARKINSON'S DISEASE RESEARCH.,1,0,0,1591023877,"Rob Huntley Photography - Ottawa, Ontario, Canada",5456,6,97,fundraisingforparkinsons theottawahospital parkinsonsdiseaseresearch parkinsons pd parkinsonsdisease parkinsondisease ottawaraceweekend parkinsonssupport,63.730277,-148.93027800000002,16,0,,5868582.0,1,0,0,0,,,,True
9,9,49907195706,14723335@N05,be74a5bcd7,65535,66,Denali is the Definition of Fine Living! (Denali National Park & Preserve),1,0,0,1589764958,thor_mark ,5565,6,1204,alaska2019 alaskarange alaskayukonranges alonglakeshore aurorahdr aurorahdr2019 aurorahdrpro azimuth179 blueskies bluesskieswithclouds day10 dayhikingindenali denali denalinationalpark denalinationalparkpreserve denalinationalparkandpreserve dxophotolab3edited evergreentrees evergreens hdr hillsideoftrees imagecapturewitharsenal incamerahdr lake lakeshore landscape landscapescenery lookingsouth mountbrooks mountkoven mountmckinley mountainpeak mountains mountainsindistance mountainsoffindistance mountainside nature nikond800e nopeople outside partlycloudy portfolio project365 ridge ridgeline ridges rollinghillsides scenicsnature singleimagehdr singleimagehdrtiffimage snowonfaroffmountainpeaks snowcapped sunny trees tundra walktowonderlake westcentralalaskarange witharsenal wonderlake wonderlaketrail alaska unitedstates,63.495066,-150.88351699999998,16,0,,5865820.0,1,0,0,0,,,,True
11,11,49868710348,151111185@N04,29052c6c53,65535,66,Riley Creek From Eye Level,1,0,0,1588917913,Dave Blaze Rail Photography,65535,66,528,,63.725703,-148.912349,16,0,,5868582.0,1,0,0,0,724e594f8c,jpg,,True
12,12,49869223746,151111185@N04,75d77d3f3b,65535,66,Riley Creek From Below,1,0,0,1588917371,Dave Blaze Rail Photography,65535,66,431,,63.725703,-148.912349,16,0,,5868582.0,1,0,0,0,21ba2e921a,jpg,,True
13,13,49868677773,151111185@N04,27f307eb2c,65535,66,Riley Creek From Above,1,0,0,1588916925,Dave Blaze Rail Photography,65535,66,453,,63.725703,-148.912349,16,0,,5868582.0,1,0,0,0,69def3a5fd,jpg,,True
14,14,49865280902,14723335@N05,4a620e869d,65535,66,A Vast Amphitheater Is Before Me (Denali National Park & Preserve),1,0,0,1588818370,thor_mark ,5565,6,1135,alaska2019 alaskarange alaskayukonranges azimuth219 braidedriver busridefromnorthfacelodge canvas cloudsaroundmountainpeaks cloudsaroundmountains cloudy day11 denali denalihiddeninclouds denalinationalpark denalinationalparkpreserve denalinationalparkrd denalinationalparkandpreserve denaliindistance dxophotolab3edited eielsonvisitorcenter freeversepoetry glacialplain glacialvalley hiddeninclouds imagecapturewitharsenal landscape landscapescenery lookingsw mostlycloudy mountainpeak mountains mountainsindistance mountainsoffindistance mountainside muldrowglacier nature nikond800e nopeople outside overcast poemsused poetryandprose portfolio project365 ridge ridgeline ridges scenerynature snowonfaroffmountainpeaks snowcapped tundra westcentralalaskarange witharsenal alaska unitedstates,63.430783,-150.31130100000001,16,0,,5876374.0,1,0,0,0,,,,True
15,15,49861532172,14723335@N05,9021c61159,65535,66,It's Time to Head Out on the Expedition of Living (Denali National Park & Preserve),1,0,0,1588727532,thor_mark ,5565,6,1215,alaska2019 alaskarange alaskayukonranges azimuth212 busridefromnorthfacelodge cloudsaroundmountainpeaks cloudsaroundmountains cloudy day11 denali denalihiddeninclouds denalinationalpark denalinationalparkpreserve denalinationalparkrd denalinationalparkandpreserve denaliindistance dxophotolab3edited hiddeninclouds imagecapturewitharsenal landscape landscapescenery lookingsw mostlycloudy mountainpeak mountains mountainsindistance mountainsoffindistance mountainside nature nikond800e nopeople outside overcast portfolio project365 ridge ridgeline ridges scenerynature snowonfaroffmountainpeaks snowcapped tundra westcentralalaskarange witharsenal alaska unitedstates,63.43465,-150.48125,16,0,,5876374.0,1,0,0,0,,,,True
17,17,49857608702,14723335@N05,9a5220ff58,65535,66,Denali Is Truly Magical to Take in on an Autumn Afternoon! (Denali National Park & Preserve),1,0,0,1588643912,thor_mark ,5565,6,1486,alaska2019 alaskarange alaskayukonranges alpineglow azimuth177 blueskies day9 dayhikingindenali denali denalinationalpark denalinationalparkpreserve denalinationalparkandpreserve dxophotolab3edited evergreentrees evergreens hillsideoftrees imagecapturewitharsenal landscape landscapescenery lookingsouth mountmckinley mountainpeak mountains mountainsindistance mountainsoffindistance mountainside nature nikond800e nopeople northfacelodgearea outside project365 ridge ridgeline ridges rollinghillsides scenicsnature snowonfaroffmountainpeaks snowcapped sunny trees tundra westcentralalaskarange witharsenal alaska unitedstates,63.51406600000001,-150.90385,16,0,,5865820.0,1,0,0,0,,,,True
18,18,49847896596,14723335@N05,d79b529af4,65535,66,Denali Has a Reputation for Wondrous Views (Denali National Park & Preserve),1,0,0,1588465459,thor_mark ,5565,6,1094,alaska2019 alaskarange alaskayukonranges azimuth123 braidedriver busridetonorthfacelodge day8 denalinationalpark denalinationalparkrd dxophotolab3edited glacialplain glacialriver glacialvalley hazyskies imagecapturewitharsenal landscape landscapescenery lookingse mountpendleton mountainpeak mountains mountainsindistance mountainsoffindistance mountainside nature nikond800e nopeople outside polychromeoverlook portfolio project365 ridge ridgeline ridges river scenerynature snowonfaroffmountainpeaks snowcapped sunny tundra westcentralalaskarange witharsenal denalinationalparkpreserve alaska unitedstates,63.53515,-149.829467,16,0,,5876374.0,1,0,0,0,,,,True
19,19,49839981062,14723335@N05,c732febcff,65535,66,A Railline Path Through the Forest and Woods of Denali National Park & Preserve,1,0,0,1588300437,thor_mark ,5565,6,972,alaska2019 alaskarailroad alaskarange alaskayukonranges azimuth1 bluesskieswithclouds colorefexpro day4 denalinationalparkpreserve denalinationalparkandpreserve dxophotolab3edited evergreentrees evergreens hillsideoftrees horseshoelaketrail imagecapturewitharsenal landscape lookingnorth mountains mountainsindistance mountainsoffindistance mountainside nature nikond800e outside partlycloudy project365 railline railroad railroadcrossing railroadtrack railroadtracks railwaytracks rollinghillsides sunny traintrack traintracks trees westcentralalaskarange witharsenal alaska unitedstates,63.737632999999995,-148.914817,16,0,,5868582.0,1,0,0,0,,,,True
20,20,49832217077,14723335@N05,9599ded285,65535,66,Letting Nature Pamper Me with Snapshots of a Denali National Park,1,0,0,1588126857,thor_mark ,5565,6,1339,alaska2019 alaskarange alaskayukonranges alonglakeshore azimuth181 blueskies bluesskieswithclouds colorefexpro day10 dayhikingindenali denali denalinationalpark denalinationalparkpreserve denalinationalparkandpreserve dxophotolab3edited evergreentrees evergreens hillsideoftrees imagecapturewitharsenal lake lakeshore landscape landscapescenery lookingsouth mountbrooks mountkoven mountmckinley mountainpeak mountains mountainsindistance mountainsoffindistance mountainside nature nikond800e nopeople outside partlycloudy portfolio project365 ridge ridgeline ridges rollinghillsides scenicsnature snowonfaroffmountainpeaks snowcapped sunny trees tundra walktowonderlake westcentralalaskarange witharsenal wonderlake wonderlaketrail alaska unitedstates,63.49501600000001,-150.88341699999998,16,0,,5865820.0,1,0,0,0,,,,True
