,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,49861845347,49540510@N05,154eeb922f,65535,66,Dry Tortugas- Fishy Sunset,1,0,0,1588733989,Matt Straite Photography,4194,5,1692,fort national park color island florida history civil war sunset fisheye,f0cd88491d,jpg,24.628207,-82.872682,16,0,,4155953.0,1,0,0,0,,True
3,3,49679977232,21874566@N07,14c27df448,65535,66,Dry Tortugas National Park,1,0,0,1584716418,RuggyBearLA,8130,9,305,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,28905ae045,jpg,24.62793,-82.872653,16,0,,4155953.0,1,0,0,0,,True
4,4,49678587073,21874566@N07,cda7e18252,65535,66,Dry Tortugas National Park,1,0,0,1584702014,RuggyBearLA,8130,9,576,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,9ed3ba7351,jpg,24.626452,-82.873225,16,0,,4155953.0,1,0,0,0,,True
5,5,49678948047,21874566@N07,4027317d46,65535,66,Dry Tortugas National Park,1,0,0,1584687609,RuggyBearLA,8130,9,214,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonfloridaunitedstatesofamerica,df3222d01e,jpg,24.624697,-82.877939,16,0,,4155953.0,1,0,0,0,,True
6,6,49677698048,21874566@N07,58e14741fc,65535,66,Dry Tortugas National Park,1,0,0,1584673210,RuggyBearLA,8130,9,315,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,7c3087820f,jpg,24.627658,-82.872484,16,0,,4155953.0,1,0,0,0,,True
7,7,49677992962,21874566@N07,a94107ea09,65535,66,Dry Tortugas National Park,1,0,0,1584658811,RuggyBearLA,8130,9,234,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,16ac4e922b,jpg,24.627933,-82.872653,16,0,,4155953.0,1,0,0,0,,True
8,8,49677341497,21874566@N07,f06dbf0d5e,65535,66,Dry Tortugas National Park,1,0,0,1584644411,RuggyBearLA,8130,9,223,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,655efcc3ab,jpg,24.627933,-82.872653,16,0,,4155953.0,1,0,0,0,,True
9,9,49676329016,21874566@N07,826c01e40d,65535,66,Dry Tortugas National Park,1,0,0,1584630011,RuggyBearLA,8130,9,380,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,f6239c4958,jpg,24.629697,-82.872017,16,0,,4155953.0,1,0,0,0,,True
10,10,49675184918,21874566@N07,6006785851,65535,66,Dry Tortugas National Park,1,0,0,1584615613,RuggyBearLA,8130,9,296,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,5c36b73b4b,jpg,24.629697,-82.872017,16,0,,4155953.0,1,0,0,0,,True
11,11,49675310441,21874566@N07,d9edfe6afd,65535,66,Dry Tortugas National Park,1,0,0,1584601211,RuggyBearLA,8130,9,393,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,51a4e4ae1f,jpg,24.629697,-82.872017,16,0,,4155953.0,1,0,0,0,,True
12,12,49675183357,21874566@N07,ec440009a0,65535,66,Dry Tortugas National Park,1,0,0,1584586811,RuggyBearLA,8130,9,266,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,03284762ff,jpg,24.629269,-82.87195899999999,16,0,,4155953.0,1,0,0,0,,True
13,13,49674647492,21874566@N07,7eaf5c3f47,65535,66,Dry Tortugas National Park,1,0,0,1584572411,RuggyBearLA,8130,9,375,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,c373f84992,jpg,24.627785999999997,-82.874412,16,0,,4155953.0,1,0,0,0,,True
14,14,49673648246,21874566@N07,8bd42d6c99,65535,66,Dry Tortugas National Park,1,0,0,1584558021,RuggyBearLA,8130,9,550,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,10075c682b,jpg,24.627397,-82.873648,16,0,,4155953.0,1,0,0,0,,True
15,15,49673199427,21874566@N07,2b5e1b24c7,65535,66,Dry Tortugas National Park,1,0,0,1584543620,RuggyBearLA,8130,9,310,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,b573334524,jpg,24.626455,-82.873228,16,0,,4155953.0,1,0,0,0,,True
16,16,49672343531,21874566@N07,b2ee08799e,65535,66,Dry Tortugas National Park,1,0,0,1584529219,RuggyBearLA,8130,9,352,us unitedstates florida fl drytortugas nationalpark findyourpark ocean water fortjeffersonkeywestfloridaunitedstatesofamerica,958138cfd0,jpg,24.626894,-82.87289799999999,16,0,,4155953.0,1,0,0,0,,True
