,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
134,134,48411538652,91598373@N07,b82908b4c2,65535,66,20190712_142134,1,0,0,1564467513,Bounmy C,7642,8,17,,c5e1b1b1c2,jpg,68.141988,-151.734678,16,0,,5879390.0,1,0,0,0,,True
135,135,48411538492,91598373@N07,baacbb5cd4,65535,66,20190712_142153,1,0,0,1564467511,Bounmy C,7642,8,8,,80d3b812bf,jpg,68.141988,-151.734678,16,0,,5879390.0,1,0,0,0,,True
251,251,48114503762,76718154@N00,f9eae9ecf5,65535,66,CEZero_2019,1,0,0,1561304013,Christian Zimmerman,140,1,22,,97aa3888c9,jpg,67.752372,-155.084398,16,0,,5864925.0,1,0,0,0,,True
271,271,48109564972,76718154@N00,9f9583f305,65535,66,CEZero_2019,1,0,0,1561227418,Christian Zimmerman,140,1,0,,9bc81a2f83,jpg,67.740783,-155.057403,16,0,,5864925.0,1,0,0,0,,True
273,273,48109413666,76718154@N00,c72b322880,65535,66,CEZero_2019,1,0,0,1561226872,Christian Zimmerman,140,1,0,,b05801e139,jpg,67.75238,-155.086106,16,0,,5864925.0,1,0,0,0,,True
275,275,48109495092,76718154@N00,7f8b375a56,65535,66,CEZero_2019,1,0,0,1561226456,Christian Zimmerman,140,1,0,,c2bbc250bf,jpg,67.748938,-155.055223,16,0,,5864925.0,1,0,0,0,,True
301,301,43752728920,75182224@N04,19c43ab86e,1934,2,"Walker Lake, Gates of the Arctic National Park & Preserve, Alaska",1,0,0,1540581577,AlaskaNPS,3685,4,926,walkerlake gatesofthearcticnationalparkpreserve alaska unitedstates gaar ak usa gatesofthearcticnationalpar us,25a5891f29,jpg,67.061388,-154.330725,16,0,EVRFePJQUL9.uW_RZA,12587579.0,1,0,0,0,,True
302,302,30629172217,75182224@N04,0d6d3287eb,1910,2,"Walker Lake, Gates of the Arctic National Park & Preserve, Alaska",1,0,0,1540581579,AlaskaNPS,3685,4,1077,walkerlake gatesofthearcticnationalparkpreserve alaska unitedstates gaar ak usa gatesofthearcticnationalpar us,3fef07bcd3,jpg,67.061761,-154.329703,16,0,EVRFePJQUL9.uW_RZA,12587579.0,1,0,0,0,,True
303,303,30629156267,75182224@N04,a4b61a5c05,1968,2,"Walker Lake, Gates of the Arctic National Park & Preserve, Alaska",1,0,0,1540581580,AlaskaNPS,3685,4,1126,walkerlake gatesofthearcticnationalparkpreserve alaska unitedstates gaar ak usa gatesofthearcticnationalpar us,bbbe8692f2,jpg,67.061761,-154.329703,16,0,EVRFePJQUL9.uW_RZA,12587579.0,1,0,0,0,,True
317,317,48114827031,76718154@N00,f9cb12ef71,65535,66,CEZero_2019,1,0,0,1561308438,Christian Zimmerman,140,1,9,,bf36275b78,jpg,67.755416,-155.04943899999998,16,0,,5864925.0,1,0,0,0,,True
318,318,48114827021,76718154@N00,1cf0be967c,65535,66,CEZero_2019,1,0,0,1561308437,Christian Zimmerman,140,1,9,,1193d9ab84,jpg,67.754683,-155.05105600000002,16,0,,5864925.0,1,0,0,0,,True
320,320,48114818296,76718154@N00,989d5779a9,65535,66,CEZero_2019,1,0,0,1561308348,Christian Zimmerman,140,1,9,,55c2331e37,jpg,67.754363,-155.051117,16,0,,5864925.0,1,0,0,0,,True
321,321,48114847268,76718154@N00,6633a064ed,65535,66,CEZero_2019,1,0,0,1561308274,Christian Zimmerman,140,1,11,,1df59ecf2e,jpg,67.738525,-155.06311200000002,16,0,,5864925.0,1,0,0,0,,True
322,322,48114358536,76718154@N00,ae53a80646,65535,66,CEZero_2019,1,0,0,1561303449,Christian Zimmerman,140,1,9,,c7f49f2e97,jpg,67.752372,-155.084398,16,0,,5864925.0,1,0,0,0,,True
323,323,48114333046,76718154@N00,f3ab53156b,65535,66,CEZero_2019,1,0,0,1561303187,Christian Zimmerman,140,1,7,,cb7b2b0c58,jpg,67.744766,-155.055237,16,0,,5864925.0,1,0,0,0,,True
