,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
1,1,49742168061,44124400268@N01,c2f3be369f,65535,66,Logs in a Small Stream,1,0,0,1586174481,Duncan Rawlinson - Duncan.co,5464,6,287,1nuxzcbqqxurb42pfw724y144hwxkqfqcf 5dsr canon canoneos5dsr duncanrawlinson duncanrawlinsonphoto duncanrawlinsonphotography duncanco fallen flowers greatbasinnationalpark greatbasinnationalparknevadaunitedstatesofamerica green leaves logsinasmallstream nevada park photobyduncanrawlinson shotwithcanoneos5dsr us usa unitedstates unitedstatesofamerica walk beautiful branches brook creek dampness final flora flowing flowingwater freshair grass httpsduncanco httpsduncancologsinasmallstream logs movement murmuring natural nature openair organic rivulet shore shoreline small smallstream stones stony stream vegetation water waternoise wet wetmoss baker,c23e5b2064,jpg,39.0038,-114.31074199999999,16,0,,5514021.0,1,0,0,0,,True
2,2,6956171853,10725258@N00,6e8821768e,7204,8,Ent,1,0,0,1583853747,rovingmagpie,7349,8,1006,pine geotagged baker nevada gnarly greatbasin bristleconepine gnarlytree greatbasinnationalpark bristleconetrail greatbasinbristleconepine cdtw2011 geo:lat=3900221619578678 geo:lon=11430476821957399,,,39.002216,-114.304768,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
3,3,49152853732,54769054@N03,afe985a9b9,65535,66,Helping the Elderly,1,0,0,1575219403,Scott Holcomb,4092,5,1405,helpinghand bristleconepine greatbasinnationalpark nevada kowasix kowa13555lens zenzabronicasy48•2cy2filter ilforddelta100profilm bw 6x6 120film mediumformat epsonperfectionv600 photoshopdigitalization,,,38.99062,-114.30411799999999,15,0,,5514021.0,1,0,0,0,,True
4,4,49129214793,54769054@N03,b4976d01c1,65535,66,Top to Bottom,1,0,0,1574807965,Scott Holcomb,4092,5,1128,baldmountainecologicalplantzones wheelerpeaksummittrail greatbasinnationalpark nevada kowasix kowalenss135150mmlens kowal1aø67filter kodakportra160film squareformat 120film mediumformat 6x6 epsonperfectionv600 photoshopdigitalization,,,38.998124,-114.291265,15,0,,5514021.0,1,0,0,0,,True
5,5,49124509702,54769054@N03,e4d5cddeaa,65535,66,Destination Wheeler Peak,1,0,0,1574718299,Scott Holcomb,4092,5,1015,nevada 120film squareformat wheelerpeak greatbasinnationalpark kowasix kodakportra160film kowal1aø67filter kowa156250mmlens 6x6 mediumformat epsonperfectionv600 photoshopdigitalization,,,39.020392,-114.274667,16,0,,5514021.0,1,0,0,0,,True
6,6,49079572988,54769054@N03,59f7680e3d,65535,66,Forging Ahead,1,0,0,1574014252,Scott Holcomb,4092,5,1364,wheelerpeaksummittrail greatbasinnationalpark nevada kowasix kowalenss135150lens zenzabronicasy48•2cy2filter ilforddelta100profilm bw 6x6 120film mediumformat epsonperfectionv600 photoshopdigitalization,,,38.994539,-114.30748700000001,16,0,,5514021.0,1,0,0,0,,True
7,7,49080283902,54769054@N03,c75c5f058c,65535,66,Looking Back,1,0,0,1574014090,Scott Holcomb,4092,5,1281,wheelerpeaksummittrail greatbasinnationalpark nevada kowasix kowalenss135150lens zenzabronicasy48•2cy2filter ilforddelta100profilm bw 6x6 120film mediumformat epsonperfectionv600 photoshopdigitalization,,,38.997524,-114.306027,15,0,,5514021.0,1,0,0,0,,True
8,8,49069702803,54769054@N03,4aa2ecf97e,65535,66,Scree,1,0,0,1573842801,Scott Holcomb,4092,5,1489,wheelerpeaksummittrail greatbasinnationalpark nevada kowasix kowa13555lens zenzabronicasy48•2cy2filter ilforddelta100profilm bw 6x6 120film mediumformat epsonperfectionv600 photoshopdigitalization,,,38.991337,-114.30293700000001,15,0,,5514021.0,1,0,0,0,,True
9,9,49066630472,54769054@N03,51bc50d11d,65535,66,Death's Repose,1,0,0,1573768314,Scott Holcomb,4092,5,1813,bristleconepine greatbasinnationalpark bw 6x6 mediumformat nevada 120film kowasix epsonperfectionv600 ilforddelta100profilm photoshopdigitalization kowa13555lens zenzabronicasy48•2cy2filter,,,38.996673,-114.29714399999999,15,0,,5514021.0,1,0,0,0,,True
10,10,49046658018,54769054@N03,dc341bb0fd,65535,66,Headed to the Mountain,1,0,0,1573449113,Scott Holcomb,4092,5,1258,wheelerpeak greatbasinnationalpark nevada kowasix kowalenss135150mmlens kowal1aø67filter kodakportra160film squareformat 120film mediumformat 6x6 epsonperfectionv600 photoshopdigitalization,,,39.0183,-114.304053,15,0,,5514021.0,1,0,0,0,,True
11,11,48906227098,62566937@N00,5f4608ee30,65535,66,Shield Formation,1,0,0,1571194146,Webfoot5,7856,8,127,geocaching cave shieldformation greatbasinnationalpark underground,,,39.005828,-114.22076499999999,16,0,,5512584.0,1,0,0,0,,True
12,12,48868245028,26209464@N00,97a0794e58,65535,66,Morning dog walk,1,0,0,1570596140,simonov,729,1,106,greatbasinnationalpark forest mountain autumn fall leaves color aspens wheelerpeak,fe2b40e5e3,jpg,39.010833,-114.30305600000001,16,0,,5514021.0,1,0,0,0,,True
13,13,48868961667,26209464@N00,3ebefb6497,65535,66,Car camping,1,0,0,1570596141,simonov,729,1,429,greatbasinnationalpark forest mountain autumn fall leaves color aspens woman ingrid campfire car camping,71358b89bf,jpg,39.011111,-114.303334,16,0,,5514021.0,1,0,0,0,,True
14,14,48576350031,26209464@N00,32b50bfdc3,65535,66,Me at Mather Overlook,1,0,0,1566228971,simonov,729,1,202,greatbasinnationalpark wilderness mountains nevada forest hiking climbing dosodoyabi jeffdavispeak wheelerpeak simonov man akubra,e2d8daf1e1,jpg,39.020277,-114.274723,16,0,,5514021.0,1,0,0,0,,True
15,15,48539998477,26209464@N00,e76da26a9a,65535,66,Mather Overlook,1,0,0,1565826108,simonov,729,1,257,greatbasinnationalpark wilderness mountains nevada forest hiking climbing dosodoyabi jeffdavispeak wheelerpeak bella dog hund chien 狗 σκύλοσ madra cane 犬 perro 개 سگ собака الكلب germansheprador woman ingrid,4fd880ac66,jpg,39.020277,-114.274723,16,0,,5514021.0,1,0,0,0,,True
17,17,30191418427,54769054@N03,11dfb04548,1958,2,Imposing,1,0,0,1538807520,Scott Holcomb,4092,5,3655,bristleconepine greatbasinnationalpark nevada kowasix kowa13555lens zenzabronicaso56•2cya3filter ilforddelta100profilm bw 6x6 120film mediumformat epsonperfectionv600 photoshopdigitalization,,,39.002143,-114.307422,15,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
18,18,30005066927,23782932@N06,e62e885282,1926,2,From Nevada to Utah,1,0,0,1538025991,Tim Lawnicki,2856,3,12987,greatbasin greatamericandesert nevada greatbasinnationalpark basinandrange,,,38.984557,-114.316005,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
19,19,44632104352,30436878@N06,8068cc7889,1889,2,Drapery Shield,1,0,0,1536954724,Waterfall Guy,2212,3,914,drapery shield great basin national park nevada lehman caves,8e11b580e1,jpg,39.005762,-114.219757,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
21,21,44399294922,30436878@N06,373a7810f3,1890,2,Discovery Road,1,0,0,1535984606,Waterfall Guy,2212,3,992,great basin national park nevada mt wheeler scenic highway mountains dusk trees forest,65c0f1ed3b,jpg,39.014165000000006,-114.30413899999999,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
22,22,29486973957,30436878@N06,ea0d82fa8f,1878,2,Journey's Start,1,0,0,1535894531,Waterfall Guy,2212,3,828,great basin national park nevada mountain mt wheeler hike,4e66f5f6e9,jpg,39.015607,-114.309353,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
23,23,44347298632,25497340@N05,a7cac3330b,1848,2,www.ariseshine.life,1,0,0,1535772924,NYHikerJohn,2899,3,31,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,1724eb0caf,jpg,39.017308,-114.303345,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
24,24,30528860478,25497340@N05,0d2ba328e8,1896,2,Wheeler Peak in the clouds.,1,0,0,1535772925,NYHikerJohn,2899,3,50,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,650fe301e9,jpg,38.994865999999995,-114.322053,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
25,25,43679506144,25497340@N05,51ea656efb,1894,2,Not bad.,1,0,0,1535772925,NYHikerJohn,2899,3,54,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,36d5183718,jpg,39.002225,-114.323503,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
26,26,30528859688,25497340@N05,7b75a81f1c,1865,2,IMG_3966,1,0,0,1535772926,NYHikerJohn,2899,3,33,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,785e15495e,jpg,39.006144,-114.31861200000002,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
27,27,43679505274,25497340@N05,7d1d5ba9d5,1870,2,IMG_3978,1,0,0,1535772926,NYHikerJohn,2899,3,24,wheelerpeak nevada greatbasinnationalpark nyhikerjohn johnridge johnaridge johnaustinridge august 2018,c7b1a4de98,jpg,39.017258,-114.303428,16,0,8SEH4pJQUL.YTP890Q,12589247.0,1,0,0,0,,True
