,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,50029056081,127410939@N04,6d1b9e590a,65535,66,"Sand Dunes, Colorado",1,0,0,1592739218,amithchatterjee1,65535,66,62,colorado greatsanddunes nationalpark rockies rockymountains,d5bcbb23d7,jpg,37.791201,-105.61240900000001,16,0,,5428393.0,1,0,0,0,,True
1,1,49922823167,68497070@N00,6aa420e517,65535,66,Layered Landscape,1,0,0,1590150067,Michael Dales,65535,66,556,mosca colorado unitedstates greatsanddunes nationalpark desert mountains,333094d310,jpg,37.716858,-105.525775,16,0,,5428393.0,1,0,0,0,,True
2,2,49861057568,50449338@N02,b7d152b485,65535,66,"Wind and Sand, Alamosa County, CO",1,0,0,1588735116,4 Corners Photo,7408,8,427,4cornersphoto alamosacounty colorado dunefield greatsanddunesnationalpark landscape mountains nature northamerica outdoor rural sanluisvalley sand sanddune sangredecristomountains sangredecristowilderness scenery shadow spring unitedstates weather wind mosca unitedstatesofamerica,,,37.740990999999994,-105.529592,16,0,,5428393.0,1,0,0,0,,True
3,3,49753991137,42181342@N04,e894ee23e4,65535,66,Great Sand Dunes National Park_82_85733.jpg,1,0,0,1586448641,Lee Hoy,7454,8,24,mosca colorado unitedstatesofamerica,b8bb11b284,jpg,37.744483,-105.507617,16,0,,5428393.0,1,0,0,0,,True
4,4,49748419671,127114259@N08,1fbe77b126,65535,66,Convergent Relief,1,0,0,1586319823,courtney_meier,65535,66,36905,colorado coloradorockies fall greatsanddunesnationalpark landscape nationalpark rockymountains sangredecristos southernrockies usnationalpark afternoon afternoonlight autumn cottonwoods dunes fallcolor mountains sand sanddunes shadows mosca unitedstatesofamerica,2fda9bb362,jpg,37.746091,-105.50967299999999,16,0,,5428393.0,1,0,0,0,,True
5,5,49725552288,155152466@N03,d92bda93de,65535,66,Great Sand Dunes Colorado,1,0,0,1585798814,wximagery,7828,8,1214,arid colorado daytime desert dry geology landscape minimalist monochrome nationalpark nature outdoor outdoors sand sanddune sun texture,,,37.753527000000005,-105.525075,16,0,,5428393.0,1,0,0,0,,True
6,6,49712161047,68497070@N00,df215f2327,65535,66,The early photographer gets the shot,1,0,0,1585483765,Michael Dales,65535,66,1120,greatsanddunes greatsanddunesnationalpark sand dunes photographer sky shadow light,b95a52fee6,jpg,37.735986,-105.5166,15,0,,5428393.0,1,0,0,0,,True
7,7,49708518273,68085076@N00,1a8d80ee85,65535,66,Sunset at the Great Sand Dunes,1,0,0,1585420799,chris lazzery,7415,8,624,greatsanddunesnationalpark colorado sunset mountains sanddunes alpenglow canon6d canonef24105mmf4l,,,37.74819,-105.52617,15,0,,5428393.0,1,0,0,0,,True
8,8,49706737643,68497070@N00,b9146cfb65,65535,66,Crossing,1,0,0,1585386034,Michael Dales,65535,66,1817,colorado road sands perspective distance crossing,149de19274,jpg,37.663108,-105.70198400000001,16,0,,5550375.0,1,0,0,0,,True
9,9,49633865323,127410939@N04,86060a09fa,65535,66,"Sand and snow, Great Sand Dunes, Colorado",1,0,0,1583671963,amithchatterjee1,65535,66,258,colorado rockies greatsanddunes sanddune nationalpark,0b2023730e,jpg,37.791201,-105.61240900000001,16,0,,5428393.0,1,0,0,0,,True
