,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,originalsecret,originalformat,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,machine_tags,in_park
0,0,49895636893,61897811@N00,f80032fecd,65535,66,"Morning light, Guadalupe Mountains National Park",1,0,0,1589505828,Anita363,3,1,183,pinespringscampground pinesprings campground camp magichour guadalupemountainsnationalpark guadalupemountains texas tx film,cb399e0799,jpg,31.895621999999996,-104.826693,16,0,,5528388.0,1,0,0,0,,True
1,1,49542703997,132770804@N07,4c74435a7e,65535,66,"Manzanita Spring, Smith Spring Trail, Guadalupe Mountains National Park  11/21/2013",1,0,0,1581858433,ccbutch,471,1,623,smithspringtrail manzanitaspring guadalupemountainsnationalpark roadtripusa geotagged nationalpark nps guadalupemountains water sky reflection texas trail hike hiking,b6bfc45775,jpg,31.9105,-104.798309,16,0,,5521897.0,1,0,0,0,,True
2,2,49291719877,133876835@N08,7acd26d094,65535,66,Texas - Guadalupe Mountains National Park,1,0,0,1577606669,Michael.Kemper,7748,8,869,walk walking hike hiking wanderung wandern randonnée randonnee voyage travel travelling reise vacation urlaub usa us united states america vereinigte staaten von amerika american southwest amerikanischer südwesten texas guadalupe mountains national park nationalpark np devil devils teufel halle teufelshalle pine creek canyon mountain berg berge canon eos 6 d 6d ef 2470 24 70 f4 f 4 l is usm,2962be23b0,jpg,31.904427000000002,-104.847089,16,0,,5528388.0,1,0,0,0,,True
3,3,49281989693,46464941@N07,5cc5f03c04,65535,66,Guadalupe Mountains National Park (2 of 3),1,0,0,1577470316,jimsawthat,65535,66,124,mountains guadalupemountains rural texas guadalupemountainsnationalpark,142ca6565a,jpg,31.893790999999997,-104.82259499999999,15,0,,5528388.0,1,0,0,0,,True
4,4,49071340448,58359963@N00,c671cdae58,65535,66,detail pratt's cabin,1,0,0,1573875869,Windswept.west,4780,5,226,mckittrickcayon gmnp joist stone wood blue prattscabin tamron247028 nikond5200,,,31.969493,-104.790204,16,0,,5527089.0,1,0,0,0,,True
6,6,49066300141,62566937@N00,79d0ca735e,65535,66,Gudalupe Mountains National Park,1,0,0,1573766566,Webfoot5,7856,8,171,sign guadalupemountainsnationalpark desert,,,31.912044,-104.77642800000001,16,0,,5521897.0,1,0,0,0,,True
8,8,48992803517,62566937@N00,2e530ebd1d,65535,66,Prickley Pear,1,0,0,1572554921,Webfoot5,7856,8,103,cactus pricklypear nationalpark guadalupemountainsnationalpark plant flower,,,31.893408,-104.822927,16,0,,5528388.0,1,0,0,0,,True
10,10,48657202558,133876835@N08,c1705fb799,65535,66,Texas - Guadalupe Mountains National Park,1,0,0,1567323924,Michael.Kemper,7748,8,1275,canon eos 6 d 6d ef 1635 16 35 f4 f 4 l is usm voyage travel travelling reise vacation urlaub usa us united states america vereinigte staaten von amerika american southwest amerikanischer südwesten texas guadalupe mountains national park devils hall trail mountain berg berge devil teufel teufelshalle halle canyon pine creek spring frühling,d6435f49b4,jpg,31.904611,-104.846406,16,0,,5528388.0,1,0,0,0,,True
11,11,48112367642,133876835@N08,395c2a4516,65535,66,Texas - Guadalupe Mountains National Park,1,0,0,1561271613,Michael.Kemper,7748,8,1085,canon eos 6 d 6d ef 2470 24 70 f4 f 4 l is usm walk walking hike hiking wanderung wandern randonnée randonnee voyage travel travelling reise vacation urlaub usa us united states america vereinigte staaten von amerika american southwest amerikanischer südwesten texas guadalupe mountains national park nationalpark np devils hall trail devil teufel halle teufelshalle spring frühling pine creek canyon mountain berg berge,e79b0e5373,jpg,31.899461,-104.834303,16,0,,5528388.0,1,0,0,0,,True
14,14,49793956833,9105819@N04,56892ea58b,65535,66,Marker,1,0,0,1587326285,L. N. Batides,1178,2,7,202002170301rtwrvsouthwestnmaztx saltflat texas unitedstatesofamerica,5057af0b97,jpg,31.89348,-104.817459,16,0,,5528388.0,1,0,0,0,,True
15,15,49793956163,9105819@N04,f134c225cd,65535,66,Guadalupe Mountains NP,1,0,0,1587326274,L. N. Batides,1178,2,9,202002170301rtwrvsouthwestnmaztx saltflat texas unitedstatesofamerica,ace18220ea,jpg,31.893,-104.820984,16,0,,5528388.0,1,0,0,0,,True
20,20,49739647596,147989108@N02,ed3d5cabd5,65535,66,BBGuMo - 13,1,0,0,1586114407,chrstphr.lnnx,65535,66,4,,8ea5bb2249,jpg,31.918413,-104.805267,16,0,,5521897.0,1,0,0,0,,True
21,21,49739647561,147989108@N02,b3b35c4e53,65535,66,BBGuMo - 14,1,0,0,1586114408,chrstphr.lnnx,65535,66,4,,929250bfc3,jpg,31.918627,-104.806687,16,0,,5521897.0,1,0,0,0,,True
22,22,49739973697,147989108@N02,f45d1ab525,65535,66,BBGuMo - 17,1,0,0,1586114409,chrstphr.lnnx,65535,66,4,,9e3317b7bc,jpg,31.894622,-104.846062,16,0,,5528388.0,1,0,0,0,,True
23,23,49739647416,147989108@N02,f5bfaf94a0,65535,66,BBGuMo - 20,1,0,0,1586114411,chrstphr.lnnx,65535,66,4,,88be40b929,jpg,31.891483,-104.860773,16,0,,5528388.0,1,0,0,0,,True
