,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
6,6,49969094226,144509206@N03,6954e6a883,65535,66,Rocks,1,0,0,1591242861,scott.betterton,8022,9,3,,34.508419,-93.068337,16,0,,4115412.0,1,0,0,0,01be3bbb1c,jpg,,True
7,7,49969094216,144509206@N03,61aa977895,65535,66,Rocks,1,0,0,1591242861,scott.betterton,8022,9,3,,34.508444,-93.06832800000001,16,0,,4115412.0,1,0,0,0,51b04826ff,jpg,,True
8,8,49968581898,144509206@N03,98cfa7c9a7,65535,66,Rocks,1,0,0,1591242833,scott.betterton,8022,9,3,,34.508463,-93.068292,16,0,,4115412.0,1,0,0,0,52813f832a,jpg,,True
11,11,49823541913,89950527@N02,9ef996c8d5,65535,66,exploring bathhouse row in hot springs,1,0,0,1587955263,cknot1sk,8347,9,11,hotsprings arkansas bathhouserow,34.513797,-93.053795,16,0,,4115412.0,1,0,0,0,a4c5554f1c,jpg,,True
12,12,49823541818,89950527@N02,d2f6f3593d,65535,66,thank you quapaw baths for the massage,1,0,0,1587955264,cknot1sk,8347,9,13,hotsprings arkansas bathhouserow quapawbaths massage,34.513294,-93.053812,16,0,,4115412.0,1,0,0,0,91ff55ddd8,jpg,,True
13,13,49776298681,41424990@N00,f62c13c59c,65535,66,Engine Room,1,0,0,1586941484,MarkusR.,2842,3,53,dsc00883mono mrieder markusrieder vacation urlaub fotoreise phototrip usa 2018 usa2018 sonydschx60 arkansas hotsprings museum fordycebathhouse bathhouse vistitorcenter badehaus building gebäude monochrome sw bw engineroom maschinenraum technik,34.513753,-93.053483,16,0,,4115412.0,1,0,0,0,,,,True
14,14,49776611802,41424990@N00,f8f95ed2ab,65535,66,Fordyce Bathhouse,1,0,0,1586941491,MarkusR.,2842,3,75,dsc00879 mrieder markusrieder vacation urlaub fotoreise phototrip usa 2018 usa2018 sonydschx60 arkansas hotsprings museum fordycebathhouse bathhouse vistitorcenter badehaus building gebäude dusche shower,34.513753,-93.053483,16,0,,4115412.0,1,0,0,0,,,,True
15,15,49776279626,41424990@N00,6e3c5a494c,65535,66,Stained-Glass Window,1,0,0,1586941492,MarkusR.,2842,3,49,dsc00880 mrieder markusrieder vacation urlaub fotoreise phototrip usa 2018 usa2018 sonydschx60 arkansas hotsprings museum fordycebathhouse bathhouse vistitorcenter badehaus building gebäude bemaltesglasfenster stainedglasswindow window fenster,34.513753,-93.053483,16,0,,4115412.0,1,0,0,0,,,,True
16,16,49776277976,41424990@N00,3b0c956b34,65535,66,Engine Room,1,0,0,1586941493,MarkusR.,2842,3,69,dsc00882 mrieder markusrieder vacation urlaub fotoreise phototrip usa 2018 usa2018 sonydschx60 arkansas hotsprings museum fordycebathhouse bathhouse vistitorcenter badehaus building gebäude monochrome sw bw engineroom maschinenraum technik,34.513753,-93.053483,16,0,,4115412.0,1,0,0,0,,,,True
25,25,49606749886,51035555243@N01,4e2efd634f,65535,66,Which George Bush This Time,1,0,0,1583105857,Thomas Hawk,7370,8,632,america arkansas georgebush hotsprings usa unitedstates unitedstatesofamerica politics waxmuseum hotspringsnationalpark fav10,34.516090999999996,-93.05336199999999,16,0,,4115412.0,1,0,0,0,0eaedfca56,jpg,,True
