,Unnamed: 0,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,ownername,iconserver,iconfarm,views,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,originalsecret,originalformat,machine_tags,in_park
1,1,50034195427,8432336@N08,0fa12c54e7,65535,66,Submerged,1,0,0,1592841214,Clint Midwestwood,7753,8,23,,41.615987,-87.273888,16,0,,4919787.0,1,0,0,0,,,,True
2,2,50034194267,8432336@N08,9ff529e6a0,65535,66,Phlox divaricata Lithospermum caroliniense Hirundines,1,0,0,1592841218,Clint Midwestwood,7753,8,68,,41.608607,-87.276602,16,0,,4919787.0,1,0,0,0,,,,True
3,3,50033935366,8432336@N08,c6f34255bd,65535,66,Pond,1,0,0,1592841216,Clint Midwestwood,7753,8,11,,41.610757,-87.277354,16,0,,4919787.0,1,0,0,0,,,,True
4,4,50033934661,8432336@N08,d9acaa667d,65535,66,Soggy,1,0,0,1592841214,Clint Midwestwood,7753,8,34,,41.614551,-87.27627,16,0,,4919787.0,1,0,0,0,,,,True
5,5,50033392893,8432336@N08,261e98e5ba,65535,66,Tradescantia ohiensis,1,0,0,1592841218,Clint Midwestwood,7753,8,23,,41.609867,-87.276935,16,0,,4919787.0,1,0,0,0,,,,True
6,6,50033932751,8432336@N08,342087edaf,65535,66,Lupinus perennis,1,0,0,1592841217,Clint Midwestwood,7753,8,18,,41.606618,-87.273877,16,0,,4919787.0,1,0,0,0,,,,True
7,7,50033392398,8432336@N08,230362cded,65535,66,Aquilegia canadensis,1,0,0,1592841217,Clint Midwestwood,7753,8,19,,41.605992,-87.269865,16,0,,4919787.0,1,0,0,0,,,,True
8,8,50029378753,8432336@N08,31be7194f3,65535,66,Sea Mull,1,0,0,1592755254,Clint Midwestwood,7753,8,15,,41.620387,-87.27670400000001,16,0,,4919787.0,1,0,0,0,,,,True
9,9,50029369628,8432336@N08,380df0cc6b,65535,66,Dunes,1,0,0,1592755249,Clint Midwestwood,7753,8,27,,41.619096,-87.275545,16,0,,4919787.0,1,0,0,0,,,,True
10,10,50029901806,8432336@N08,ea6c4cb683,65535,66,Miller Beach-goers are In Tents!,1,0,0,1592755250,Clint Midwestwood,7753,8,38,,41.620154,-87.275481,16,0,,4919787.0,1,0,0,0,,,,True
11,11,50029358638,8432336@N08,9f6d673284,65535,66,Looking East,1,0,0,1592755252,Clint Midwestwood,7753,8,44,,41.620275,-87.275223,16,0,,4919787.0,1,0,0,0,,,,True
12,12,50029354978,8432336@N08,91eab9dcd5,65535,66,Moment,1,0,0,1592755256,Clint Midwestwood,7753,8,47,,41.620354999999996,-87.275963,16,0,,4919787.0,1,0,0,0,,,,True
13,13,50030154127,8432336@N08,8d5303a1e3,65535,66,Erosion,1,0,0,1592755255,Clint Midwestwood,7753,8,35,,41.620395,-87.27636,16,0,,4919787.0,1,0,0,0,,,,True
14,14,50026200191,8432336@N08,bc7b45e899,65535,66,Art,1,0,0,1592668147,Clint Midwestwood,7753,8,27,,41.606899,-87.267354,16,0,,4919787.0,1,0,0,0,,,,True
15,15,50026460597,8432336@N08,7f5e254f18,65535,66,Trail Closed,1,0,0,1592668147,Clint Midwestwood,7753,8,22,,41.60649,-87.269285,16,0,,4919787.0,1,0,0,0,,,,True
16,16,50026458837,8432336@N08,6986654ee2,65535,66,Into the Woods,1,0,0,1592668149,Clint Midwestwood,7753,8,46,,41.606609999999996,-87.27521800000001,16,0,,4919787.0,1,0,0,0,,,,True
17,17,50025652683,8432336@N08,7b19dfb163,65535,66,Boardwalk,1,0,0,1592668148,Clint Midwestwood,7753,8,32,,41.605824,-87.270487,16,0,,4919787.0,1,0,0,0,,,,True
41,41,49957415328,82276788@N03,698eaba47a,65535,66,Chicago skyline from Porter beach,1,0,0,1590971236,George Baritakis,2886,3,241,chicago sunset indiana illinois usa travel travelling travelblog beach color michigan,41.660312,-87.07145600000001,16,0,,4919784.0,1,0,0,0,98f4db29b7,jpg,,True
49,49,49939815152,134776049@N07,9d637409a8,65535,66,Coiled,1,0,0,1590527791,agsieg,690,1,17,,41.617134,-87.18970999999999,16,0,,4924412.0,1,0,0,0,4279e09e80,jpg,,True
50,50,49939811527,134776049@N07,ff98761059,65535,66,First Through,1,0,0,1590527791,agsieg,690,1,18,,41.617134,-87.18970999999999,16,0,,4924412.0,1,0,0,0,2b110bac33,jpg,,True
51,51,49935206978,138309242@N03,d5aba0fa23,65535,66,Lupines,1,0,0,1590439102,michellewendling907,65535,66,483,,41.607366,-87.27627,15,0,,4919787.0,1,0,0,0,c315b5002f,jpg,,True
57,57,49921575431,134776049@N07,ea21561358,65535,66,All Alone,1,0,0,1590116421,agsieg,690,1,28,,41.617134,-87.18970999999999,16,0,,4924412.0,1,0,0,0,c2654ce19d,jpg,,True
58,58,49921051298,134776049@N07,e56b2ca7ed,65535,66,Welcome to the Black Parade,1,0,0,1590116421,agsieg,690,1,32,,41.617134,-87.18970999999999,16,0,,4924412.0,1,0,0,0,773d7ef29c,jpg,,True
